Geographic Area Name,novehicle,onevehicle,twovehicle,threevehicle,Median income (dollars),Average vehicle,percent_households_with_car
Census Tract 8036.14,111,689,660,146,48908,1.52366127,93
Census Tract 8120,111,1129,863,123,194543,1.448337826,95
Census Tract 8152,111,948,593,626,62375,1.76119403,95
Census Tract 8254,111,982,946,456,111475,1.700200401,96
Census Tract 8269.02,111,170,151,52,34402,1.297520661,77
Census Tract 1601,112,432,373,60,86316,1.389969294,89
Census Tract 2409,112,333,88,9,84167,0.988929889,79
Census Tract 8133.01,112,406,226,129,38795,1.426116838,87
Census Tract 8157.01,112,254,664,227,150625,1.800318218,91
Census Tract 1006,113,852,623,251,84464,1.550299076,94
Census Tract 8258.02,113,805,897,468,59722,1.753394656,95
Census Tract 1609,114,507,378,94,117647,1.413540714,90
Census Tract 5801,114,423,234,97,51736,1.361751152,87
Census Tract 8026.05,114,1345,1068,499,114028,1.645076008,96
Census Tract 8219,114,624,610,300,94000,1.665048544,93
Census Tract 8226.02,114,1139,1385,461,101750,1.707647628,96
Census Tract 5905,115,376,159,81,79342,1.281805746,84
Census Tract 6116,115,246,93,47,39076,1.143712575,77
Census Tract 8285.08,115,765,498,171,57974,1.468043899,93
Census Tract 2311,116,178,37,54,75139,1.075324675,70
Census Tract 5610,116,705,1057,334,126982,1.727396022,95
Census Tract 7608.02,116,602,321,151,85875,1.42605042,90
Census Tract 7709.02,116,600,500,248,81923,1.601092896,92
Census Tract 8018,116,709,785,746,224565,1.917232598,95
Census Tract 8025.03,116,975,982,502,107643,1.726213592,95
Census Tract 8298,116,578,1046,293,119770,1.745696016,94
Census Tract 1405,117,614,421,147,75682,1.460354119,91
Census Tract 6806,117,248,24,50,45341,1.01594533,73
Census Tract 8090,117,446,630,199,233317,1.654454023,92
Census Tract 1909,118,192,212,98,80375,1.467741935,81
Census Tract 2809,118,128,78,0,18553,0.87654321,64
Census Tract 8201.04,118,661,613,297,100016,1.644760213,93
Census Tract 8245.07,118,797,667,230,70298,1.556843267,93
Census Tract 8272,118,649,409,254,76975,1.558741259,92
Census Tract 8300.07,118,1132,604,78,62156,1.332298137,94
Census Tract 1403.02,119,618,491,72,100560,1.396923077,91
Census Tract 1612,119,470,326,128,59926,1.443911793,89
Census Tract 624,120,457,89,34,226842,1.052857143,83
Census Tract 2004.01,120,308,389,132,57941,1.561643836,87
Census Tract 3515,120,240,28,4,-,0.785714286,69
Census Tract 7004.02,120,475,403,162,66591,1.523275862,90
Census Tract 7402,120,601,848,454,135577,1.808699951,94
Census Tract 8116,120,853,945,468,65329,1.738055323,95
Census Tract 8223.02,120,758,398,334,91944,1.58757764,93
Census Tract 1602,121,401,491,194,166012,1.628003314,90
Census Tract 8013,121,685,659,231,"250,000+",1.589622642,93
Census Tract 8045.09,121,319,692,470,91618,1.943196005,92
Census Tract 8263.01,121,650,397,334,61655,1.62849534,92
Census Tract 2413,122,437,182,28,169545,1.150845254,84
Census Tract 7502,122,633,441,125,104653,1.430734292,91
Census Tract 8087.02,122,204,65,0,203523,0.854219949,69
Census Tract 8247.02,122,742,929,557,78972,1.817446809,95
Census Tract 8263.04,122,753,334,81,36806,1.289922481,91
Census Tract 1504.01,123,806,554,190,83974,1.48475792,93
Census Tract 3018.02,123,368,155,144,41724,1.405063291,84
Census Tract 6204,123,369,524,195,70078,1.653179191,90
Census Tract 8300.04,123,662,991,667,120427,1.901350798,95
Census Tract 706,124,491,490,81,"250,000+",1.445193929,90
Census Tract 3005,124,336,202,139,53571,1.444444444,85
Census Tract 8036.12,124,464,621,97,53991,1.529096478,91
Census Tract 8096,124,621,362,126,112955,1.397404704,90
Census Tract 6714,125,280,86,67,23977,1.170250896,78
Census Tract 1708,126,544,613,188,71652,1.586675731,91
Census Tract 8024.02,126,955,1163,298,82889,1.642407553,95
Census Tract 7115,127,384,293,42,46840,1.295508274,85
Census Tract 8165,127,487,478,230,44965,1.613464448,90
Census Tract 8114.02,128,384,544,231,91292,1.682206682,90
Census Tract 8189,128,701,700,241,115809,1.595480226,93
Census Tract 8248,128,769,644,837,61542,1.920941968,95
Census Tract 7307,129,303,223,87,54669,1.361185984,83
Census Tract 8294.02,129,832,403,144,61250,1.372679045,91
Census Tract 1204,130,414,501,218,116433,1.638954869,90
Census Tract 2431,130,457,273,37,143272,1.241917503,86
Census Tract 5502,130,339,470,78,74643,1.487708948,87
Census Tract 8224,130,659,782,400,57957,1.736681887,93
Census Tract 5001,131,885,576,68,67452,1.35,92
Census Tract 7103,131,161,167,50,42738,1.26719057,74
Census Tract 8241.16,131,1058,817,211,77022,1.49977447,94
Census Tract 3011,132,369,216,27,53107,1.185483871,82
Census Tract 5303,132,830,462,45,49955,1.285908781,91
Census Tract 8051.07,132,1463,1051,153,84408,1.437656306,95
Census Tract 8088,132,636,632,110,"250,000+",1.476821192,91
Census Tract 8046.03,133,1617,684,337,91004,1.442078672,95
Census Tract 625,134,394,166,5,203750,1.060085837,81
Census Tract 6805,134,202,73,52,38500,1.093275488,71
Census Tract 7706.02,134,516,546,335,75387,1.706727629,91
Census Tract 8040,134,664,747,395,96613,1.723195876,93
Census Tract 8042.02,134,486,1291,746,162363,1.996989085,95
Census Tract 8276,134,586,158,126,41577,1.274900398,87
Census Tract 1705,135,855,537,452,106982,1.659929257,93
Census Tract 8062.01,135,1229,668,123,63722,1.361484919,94
Census Tract 8259,135,425,272,252,54011,1.591328413,88
Census Tract 8264.01,135,548,569,133,61833,1.505415162,90
Census Tract 2405,136,936,204,0,225064,1.053291536,89
Census Tract 4907,136,443,270,74,57598,1.30552546,85
Census Tract 2407,137,293,240,31,99083,1.235378031,80
Census Tract 8133.02,137,325,266,147,40255,1.483428571,84
Census Tract 8160,137,694,701,67,131813,1.436522827,91
Census Tract 8244,137,189,272,168,63542,1.614882507,82
Census Tract 8293.02,137,382,430,209,41037,1.613989637,88
Census Tract 615,138,478,217,33,194375,1.16743649,84
Census Tract 2718,138,65,5,0,38508,0.360576923,34
Census Tract 6712,138,130,35,0,54500,0.660066007,54
Census Tract 8036.11,138,855,904,282,70000,1.61037173,94
Census Tract 8138.02,138,532,468,166,55721,1.507668712,89
Census Tract 8206.04,138,586,499,161,50865,1.49349711,90
Census Tract 3009,139,1156,283,44,33306,1.143033292,91
Census Tract 6706,139,121,65,3,32344,0.792682927,58
Census Tract 6709,139,312,15,23,32827,0.840490798,72
Census Tract 7004.01,139,574,774,401,90119,1.761122881,93
Census Tract 8039.01,140,1131,590,118,99125,1.346639717,93
Census Tract 2713,142,173,38,15,30000,0.798913043,61
Census Tract 2804,142,241,148,0,38631,1.011299435,73
Census Tract 8068.02,142,335,474,90,76250,1.491834774,86
Census Tract 8180,142,906,549,123,72196,1.379651163,92
Census Tract 7304,143,568,537,144,101500,1.489942529,90
Census Tract 8048.10,143,1039,1134,392,83500,1.655465288,95
Census Tract 8114.01,143,334,466,470,85726,1.893842887,90
Census Tract 8300.06,143,614,465,87,72917,1.378915202,89
Census Tract 8410,143,341,114,19,117222,1.01458671,77
Census Tract 2712,144,149,36,39,40938,0.918478261,61
Census Tract 6121,144,142,48,21,38826,0.847887324,59
Census Tract 6905,144,109,22,44,36935,0.893416928,55
Census Tract 8323,144,503,255,52,164250,1.225366876,85
Census Tract 514,145,460,265,19,188141,1.177727784,84
Census Tract 2302,145,293,182,55,66538,1.217777778,79
Census Tract 8241.15,145,368,776,203,89167,1.695040214,90
Census Tract 8072,146,505,830,326,102639,1.739346984,92
Census Tract 8201.01,146,989,1383,524,139706,1.751150559,95
Census Tract 2410,147,386,213,21,67083,1.140808344,81
Census Tract 8051.05,147,1050,856,369,72986,1.597440132,94
Census Tract 6611,148,485,843,358,55100,1.769356598,92
Census Tract 7114,148,390,216,91,43417,1.295857988,82
Census Tract 8143,148,502,371,406,53500,1.725297828,90
Census Tract 8257,148,941,383,135,46890,1.314250156,91
Census Tract 8446,148,388,64,50,-,1.024615385,77
Census Tract 901,149,409,552,251,150368,1.664952241,89
Census Tract 2606,149,213,159,12,32292,1.063789869,72
Census Tract 408,150,469,128,46,114500,1.088272383,81
Census Tract 8205.01,150,360,859,527,76772,1.929852321,92
Census Tract 2604,151,201,26,74,52788,1.050884956,67
Census Tract 718,152,482,392,23,216250,1.27264061,86
Census Tract 5907,152,333,450,96,88958,1.475266731,85
Census Tract 8287.01,152,505,413,254,85237,1.58081571,89
Census Tract 2403,153,298,139,22,179583,1.049019608,75
Census Tract 2423,153,1074,292,151,137795,1.264071856,91
Census Tract 8230.02,153,710,771,462,73224,1.735687023,93
Census Tract 716,154,371,167,53,220357,1.159731544,79
Census Tract 2430,154,543,287,72,121634,1.262310606,85
Census Tract 8233.02,154,1664,581,358,61821,1.414581066,94
Census Tract 1904.02,155,729,638,260,71591,1.56285073,91
Census Tract 8195,155,802,373,74,123571,1.260683761,89
Census Tract 8216,155,577,550,459,92333,1.754164273,91
Census Tract 8345,156,200,22,46,37388,0.900943396,63
Census Tract 1605.01,157,447,421,202,63571,1.544417278,87
Census Tract 8155,157,733,735,688,80367,1.844790316,93
Census Tract 8247.01,157,571,517,335,93462,1.651898734,90
Census Tract 8068.01,159,722,539,162,73712,1.445006321,90
Census Tract 8105.01,159,789,593,397,85395,1.633642931,92
Census Tract 8106,159,619,622,218,75938,1.555624227,90
Census Tract 2104,160,345,237,58,44643,1.24125,80
Census Tract 4802,160,264,99,15,60724,0.942379182,70
Census Tract 8369,160,247,17,18,25556,0.757918552,64
Census Tract 404.01,162,709,435,74,109632,1.305072464,88
Census Tract 1406.01,162,298,226,153,80194,1.441001192,81
Census Tract 6701,162,130,100,0,-,0.841836735,59
Census Tract 8025.05,162,1209,841,182,61968,1.435672515,93
Census Tract 8069,162,964,695,285,85486,1.52374169,92
Census Tract 2206.01,163,284,211,54,100417,1.219101124,77
Census Tract 3105,163,202,138,19,57895,1.024904215,69
Census Tract 8218,163,750,793,379,102647,1.665707434,92
Census Tract 8403,163,440,396,171,70093,1.491452991,86
Census Tract 1512,164,571,340,197,81969,1.448113208,87
Census Tract 5603,165,272,362,225,69821,1.631835938,84
Census Tract 2222,166,582,205,44,"250,000+",1.127382146,83
Census Tract 6703,166,164,66,28,34464,0.896226415,61
Census Tract 8037.02,166,955,1225,237,132339,1.593495935,94
Census Tract 4801,167,417,218,136,83083,1.34434968,82
Census Tract 6702,167,211,22,23,34632,0.765957447,61
Census Tract 7301,167,425,218,106,60298,1.287117904,82
Census Tract 8289,167,316,554,85,59600,1.496434938,85
Census Tract 4308,168,376,136,44,69375,1.077348066,77
Census Tract 8207,168,750,862,534,87997,1.761452031,93
Census Tract 8036.08,169,1009,1597,459,145324,1.72541744,95
Census Tract 506,170,647,243,33,224643,1.127172919,84
Census Tract 2603,170,290,47,40,-,0.921389397,69
Census Tract 8016.01,170,544,718,282,147917,1.648774796,90
Census Tract 8107.02,170,616,493,147,89318,1.432678822,88
Census Tract 6112,171,383,203,49,30000,1.161290323,79
Census Tract 8162,171,629,560,293,79896,1.589836661,90
Census Tract 8168,171,527,639,582,72051,1.850442939,91
Census Tract 8215,171,353,101,29,41767,0.981651376,74
Census Tract 8292,171,812,516,360,57309,1.57288865,91
Census Tract 2508,172,310,163,111,51667,1.281746032,77
Census Tract 4803,172,211,115,32,57700,1.013207547,68
Census Tract 5003,172,447,167,85,49116,1.189437428,80
Census Tract 8010,172,756,939,288,159565,1.623201856,92
Census Tract 8273,172,384,215,162,32543,1.39335477,82
Census Tract 8404,172,361,398,192,62452,1.54318789,85
Census Tract 8431,172,204,30,45,41053,0.884700665,62
Census Tract 710,173,562,189,59,"250,000+",1.136317396,82
Census Tract 1608,173,866,645,179,64464,1.445517982,91
Census Tract 2226,173,402,166,12,100385,1.022576361,77
Census Tract 3006,173,421,171,51,43789,1.12254902,79
Census Tract 1902,174,525,468,440,70438,1.730553827,89
Census Tract 8150,174,308,438,237,69896,1.637856525,85
Census Tract 8437,174,451,318,46,202250,1.238624874,82
Census Tract 902,175,912,1135,374,157466,1.657935285,93
Census Tract 2001,175,409,552,112,85521,1.481570513,86
Census Tract 8099,175,550,416,71,173594,1.316006601,86
Census Tract 8136,175,581,366,470,61968,1.710427136,89
Census Tract 1907.02,176,724,356,178,48455,1.373779637,88
Census Tract 2502,176,322,219,113,62917,1.324096386,79
Census Tract 3102,176,241,277,15,96625,1.184767278,75
Census Tract 8363,176,346,117,7,112708,0.930340557,73
Census Tract 2827,177,408,171,63,61509,1.146520147,78
Census Tract 5804,178,691,299,269,57500,1.458594294,88
Census Tract 8205.02,178,740,623,447,66351,1.673541247,91
Census Tract 8360,178,486,256,118,113558,1.302504817,83
Census Tract 2216,179,712,443,61,178849,1.276702509,87
Census Tract 6306,179,319,244,74,46951,1.261029412,78
Census Tract 8171.01,179,626,544,289,56047,1.575702076,89
Census Tract 8270,179,494,726,89,42734,1.487231183,88
Census Tract 204,180,825,513,132,88594,1.361818182,89
Census Tract 622,180,830,237,24,205536,1.082612116,86
Census Tract 1906.02,180,629,556,166,67237,1.462442848,88
Census Tract 1912,180,420,337,135,53306,1.398320896,83
Census Tract 8137.01,180,364,299,79,56635,1.300433839,80
Census Tract 5607,181,312,526,227,78237,1.641252006,85
Census Tract 8423,181,825,408,73,180302,1.250840619,88
Census Tract 2609,182,97,63,41,28000,0.903394256,52
Census Tract 6120,182,170,101,24,57417,0.93081761,62
Census Tract 8107.01,182,890,451,333,62716,1.503771552,90
Census Tract 8407,182,484,189,171,75139,1.340155945,82
Census Tract 2402,183,350,169,93,200556,1.216352201,77
Census Tract 6503.01,183,462,580,266,67606,1.623071764,88
Census Tract 3906,184,485,150,19,163571,1.00477327,78
Census Tract 8118,184,411,585,454,80872,1.801101591,89
Census Tract 201,185,834,362,95,51500,1.248644986,87
Census Tract 8045.14,185,335,665,317,149148,1.741677763,88
Census Tract 8047.01,185,933,948,323,93469,1.589786522,92
Census Tract 8265,185,1081,469,308,45736,1.440528634,91
Census Tract 1606.02,186,674,554,79,69559,1.352310784,88
Census Tract 2204,186,512,357,60,125625,1.260986547,83
Census Tract 5805.01,186,624,463,189,41952,1.448016416,87
Census Tract 628,187,826,310,61,"250,000+",1.177023121,86
Census Tract 8016.08,187,777,1454,258,143627,1.666292975,93
Census Tract 8073,187,1055,1205,357,67190,1.617689016,93
Census Tract 8127,187,925,411,73,141319,1.231829574,88
Census Tract 8129,187,650,615,209,158625,1.509331728,89
Census Tract 3403,188,290,213,33,42955,1.125690608,74
Census Tract 8046.07,188,533,1138,668,112368,1.904629996,93
Census Tract 2427,191,391,166,11,80298,0.996047431,75
Census Tract 1510.02,192,557,522,256,74643,1.55140799,87
Census Tract 7113,192,261,141,43,56250,1.054945055,70
Census Tract 7709.01,192,658,737,300,99986,1.606783254,90
Census Tract 2002,193,555,539,303,62011,1.598742138,88
Census Tract 8290,193,218,53,0,35156,0.698275862,58
Census Tract 8399,195,1076,550,210,92625,1.381585426,90
Census Tract 1607,196,1395,759,144,86020,1.341218925,92
Census Tract 2207.02,196,925,258,194,66402,1.286077559,88
Census Tract 1701,197,695,145,106,68068,1.139982502,83
Census Tract 3017.02,197,724,214,83,42552,1.150246305,84
Census Tract 3818,197,341,57,56,80288,0.956989247,70
Census Tract 8080.02,197,768,541,248,77500,1.478905359,89
Census Tract 8284.02,197,845,376,165,68750,1.321541377,88
Census Tract 2512,198,284,493,242,63068,1.640098603,84
Census Tract 3103,198,327,127,72,54821,1.100828729,73
Census Tract 5906,198,519,470,124,57045,1.396643783,85
Census Tract 208.01,199,1185,615,196,67200,1.368109339,91
Census Tract 2307,199,813,492,377,44483,1.55661882,89
Census Tract 3404,199,273,108,17,68875,0.904522613,67
Census Tract 4212,199,167,56,17,43578,0.751708428,55
Census Tract 4913,199,262,80,106,37692,1.14374034,69
Census Tract 6118,199,282,171,43,71125,1.083453237,71
Census Tract 8366,199,411,217,20,66806,1.068476978,77
Census Tract 7005.01,200,915,821,442,77157,1.632884777,92
Census Tract 8237.02,201,1064,909,381,83450,1.575342466,92
Census Tract 611,202,331,140,11,133125,0.941520468,70
Census Tract 1511,202,763,608,208,68611,1.461538462,89
Census Tract 5304,202,254,168,115,77041,1.265223275,73
Census Tract 8214.02,202,661,364,170,76724,1.359341446,86
Census Tract 2209.01,203,559,75,165,46326,1.201596806,80
Census Tract 8235,203,604,651,104,67464,1.419974392,87
Census Tract 2106.01,204,535,329,67,83571,1.228193833,82
Census Tract 1005,205,938,883,279,120493,1.536225597,91
Census Tract 8204,205,551,541,403,46553,1.671764706,88
Census Tract 8358,205,392,93,9,70696,0.865522175,71
Census Tract 7501,206,600,365,210,73654,1.419261405,85
Census Tract 2101,207,757,571,130,95244,1.374774775,88
Census Tract 2415,207,684,391,32,160430,1.188736682,84
Census Tract 6604,207,590,357,318,47330,1.533967391,86
Census Tract 8365,207,353,129,57,49464,1.048257373,72
Census Tract 612,209,330,202,60,153438,1.141073658,74
Census Tract 8282.02,209,708,592,307,105184,1.549008811,88
Census Tract 4804,210,1070,773,202,142974,1.428824834,91
Census Tract 6406,210,860,486,183,56806,1.369177688,88
Census Tract 8269.01,210,385,147,71,23625,1.097170972,74
Census Tract 1407.01,211,610,204,27,72986,1.044676806,80
Census Tract 2107,211,714,391,88,79125,1.253561254,85
Census Tract 8030.15,211,414,953,354,115647,1.750517598,89
Census Tract 8070,211,884,573,260,72054,1.45746888,89
Census Tract 8398,211,525,239,41,79792,1.108267717,79
Census Tract 1104,212,696,720,169,74160,1.470784641,88
Census Tract 8191,212,699,694,191,74808,1.481069042,88
Census Tract 8231.01,212,620,447,281,63485,1.510897436,86
Census Tract 8274,212,840,184,179,50391,1.233215548,85
Census Tract 6814,213,345,226,26,41864,1.080246914,74
Census Tract 8074,214,712,966,305,94844,1.619936277,90
Census Tract 8081,215,1026,281,164,72292,1.233689205,87
Census Tract 2607,216,224,50,33,30069,0.808795411,59
Census Tract 5305.03,216,616,479,218,58775,1.457161543,86
Census Tract 8184.02,216,497,597,192,100781,1.509320905,86
Census Tract 8297,216,464,387,338,51818,1.602846975,85
Census Tract 203.02,217,603,549,234,119063,1.499064255,86
Census Tract 3018.03,217,550,246,144,47879,1.273984443,81
Census Tract 8128.02,217,732,258,20,94886,1.06601467,82
Census Tract 2207.01,218,542,250,97,67689,1.204155375,80
Census Tract 5702,218,202,173,162,76066,1.369536424,71
Census Tract 8060.02,218,1056,782,329,59808,1.512368973,91
Census Tract 2421,219,1443,285,36,157069,1.069591528,89
Census Tract 7109,219,333,110,79,35516,1.066126856,70
Census Tract 8240.04,220,656,788,309,122010,1.601115053,89
Census Tract 3602,221,335,38,32,38929,0.809904153,65
Census Tract 4911,221,576,382,146,67659,1.341886792,83
Census Tract 8230.01,221,1264,874,346,63917,1.497227357,92
Census Tract 8329,221,352,102,45,165948,0.959722222,69
Census Tract 6114,222,362,128,107,41809,1.146520147,73
Census Tract 501,223,522,297,85,187292,1.216503993,80
Census Tract 2521.01,223,194,164,41,57375,1.036977492,64
Census Tract 7608.01,223,1771,376,28,82167,1.087155963,91
Census Tract 8139,223,418,431,512,58125,1.777777778,86
Census Tract 1605.02,224,617,540,88,82740,1.334921715,85
Census Tract 4408,224,323,125,3,31538,0.862222222,67
Census Tract 8268,224,693,446,342,45050,1.531378299,87
Census Tract 1404,225,914,666,254,101735,1.460903351,89
Census Tract 5306,225,438,155,54,48438,1.043577982,74
Census Tract 8144,225,924,849,329,60335,1.550923936,90
Census Tract 8280,225,818,490,390,75577,1.543421737,88
Census Tract 8300.05,225,452,719,312,128385,1.654566745,87
Census Tract 6715,226,259,216,118,52587,1.275946276,72
Census Tract 6720,227,403,274,116,55014,1.273529412,78
Census Tract 8275,227,654,476,337,54228,1.544864227,87
Census Tract 6305,228,648,450,240,43547,1.448275862,85
Census Tract 2715,229,137,169,30,46455,1,59
Census Tract 8432,229,466,194,48,48333,1.065101387,76
Census Tract 1901,230,313,161,108,79041,1.181034483,72
Census Tract 2605,230,164,145,65,38179,1.074503311,62
Census Tract 8426,230,649,484,135,79444,1.349799733,85
Census Tract 107.01,232,795,374,100,62500,1.227848101,85
Census Tract 601,232,651,305,100,167917,1.211956522,82
Census Tract 627,232,569,312,103,"250,000+",1.235197368,81
Census Tract 4908,232,459,466,105,47378,1.351822504,82
Census Tract 8015,232,865,946,371,151063,1.603148302,90
Census Tract 8295,232,545,570,213,46799,1.48974359,85
Census Tract 4112,233,396,147,11,"250,000+",0.918678526,70
Census Tract 4409,233,498,146,85,69662,1.086278586,76
Census Tract 8060.06,233,581,512,451,93431,1.664603264,87
Census Tract 8098,233,432,286,17,140707,1.089876033,76
Census Tract 8154,233,1021,514,312,79457,1.435096154,89
Census Tract 8438,233,251,143,30,49750,0.9543379,65
Census Tract 3814,234,277,127,60,26993,1.018624642,66
Census Tract 6605,234,567,225,303,45855,1.449209932,82
Census Tract 8326,234,837,390,122,249375,1.252684776,85
Census Tract 1606.01,237,749,296,93,102188,1.178181818,83
Census Tract 8043.05,237,869,958,523,90255,1.683030537,91
Census Tract 8060.01,237,1150,1052,143,69444,1.426413633,91
Census Tract 8238.01,237,538,853,507,132031,1.763466042,89
Census Tract 603,239,525,340,81,183125,1.221940928,80
Census Tract 8111,239,898,756,512,69639,1.640748441,90
Census Tract 8312,239,517,570,191,45039,1.470006592,84
Census Tract 2105.02,240,760,428,59,65528,1.205783457,84
Census Tract 2832,241,322,145,16,87813,0.91160221,67
Census Tract 6308,241,464,587,395,56111,1.673384707,86
Census Tract 8317,241,362,217,66,90500,1.121896163,73
Census Tract 7101,242,269,65,27,33929,0.7960199,60
Census Tract 8109,242,1150,838,350,75365,1.502325581,91
Census Tract 5002,243,388,74,81,34409,0.991094148,69
Census Tract 8291,243,352,519,167,43146,1.476190476,81
Census Tract 2422,244,1029,432,17,190000,1.128919861,86
Census Tract 8428,245,801,785,156,33828,1.428787116,88
Census Tract 2412,246,272,305,30,136950,1.13950762,71
Census Tract 2522.01,246,555,145,38,41985,0.974593496,75
Census Tract 6505,246,400,523,375,79712,1.66515544,84
Census Tract 6009,247,574,349,115,71607,1.258365759,81
Census Tract 8324,247,872,234,44,176417,1.053686471,82
Census Tract 8374,247,332,81,14,34491,0.795252226,63
Census Tract 8447,247,247,137,11,56932,0.862928349,62
Census Tract 2714,248,171,36,31,27250,0.691358025,49
Census Tract 6115,248,527,155,27,35820,0.959247649,74
Census Tract 7702.01,248,1227,997,351,86695,1.513992207,91
Census Tract 8421,248,1014,642,173,39360,1.356283101,88
Census Tract 8091,249,586,483,97,148646,1.302473498,82
Census Tract 8105.02,249,674,810,342,93691,1.6,88
Census Tract 4902,250,700,329,98,68750,1.199709513,82
Census Tract 6713,250,307,123,21,33819,0.87874465,64
Census Tract 8175,250,546,313,148,74250,1.285600636,80
Census Tract 8234,250,676,636,256,56060,1.493949395,86
Census Tract 1505.02,251,499,605,165,95625,1.45,83
Census Tract 5202,251,435,258,92,44784,1.184362934,76
Census Tract 8266,251,1043,310,247,38835,1.298757428,86
Census Tract 3018.01,252,379,422,134,41993,1.368997473,79
Census Tract 1403.01,253,417,150,43,61830,0.980301275,71
Census Tract 1913.02,253,358,292,359,56295,1.599841521,80
Census Tract 3905,253,397,134,54,69779,0.986873508,70
Census Tract 8303,253,1159,688,37,56981,1.238184371,88
Census Tract 2838,254,905,450,17,108816,1.141451415,84
Census Tract 8047.13,254,1085,523,292,94336,1.396007428,88
Census Tract 318,255,549,159,9,130750,0.919753086,74
Census Tract 8340,255,635,199,21,50438,0.987387387,77
Census Tract 6607,256,244,75,35,26786,0.818032787,58
Census Tract 6708,256,157,48,10,28000,0.600849257,46
Census Tract 8172,256,640,400,185,61341,1.347062795,83
Census Tract 8206.05,256,887,441,328,51722,1.439853556,87
Census Tract 7608.03,257,1248,974,393,66422,1.523328691,91
Census Tract 8035,258,589,1063,294,155128,1.632032668,88
Census Tract 4503,260,881,222,112,61662,1.126101695,82
Census Tract 8051.12,260,251,375,231,88625,1.51656222,77
Census Tract 8092,261,751,246,242,53409,1.312666667,83
Census Tract 8101,261,845,663,32,109167,1.258745142,86
Census Tract 6704,262,186,92,21,36742,0.771836007,53
Census Tract 8227.01,262,866,533,245,79746,1.399265477,86
Census Tract 8258.01,262,688,473,74,52413,1.239812959,82
Census Tract 8383,262,434,212,0,154091,0.944933921,71
Census Tract 8418,262,501,124,25,43482,0.903508772,71
Census Tract 1801,263,856,667,399,76797,1.550114416,88
Census Tract 3107,263,176,69,44,39722,0.807971014,52
Census Tract 5203,263,586,749,249,46250,1.53275582,86
Census Tract 8221.02,264,932,346,295,81544,1.365813827,86
Census Tract 2210,265,453,227,124,87843,1.196445276,75
Census Tract 8048.04,265,945,926,436,91811,1.596034215,90
Census Tract 8319,265,855,260,84,205417,1.111338798,82
Census Tract 8141,266,423,311,237,44978,1.41956346,78
Census Tract 1401,267,616,235,42,52434,1.044827586,77
Census Tract 8033,267,1503,1031,148,150227,1.359443879,91
Census Tract 8050.02,267,1062,1367,223,64426,1.529633436,91
Census Tract 3406,268,132,13,12,17326,0.456470588,37
Census Tract 5101,268,410,298,204,42143,1.371186441,77
Census Tract 6006,268,610,211,55,46111,1.046328671,77
Census Tract 7110,268,515,274,79,40000,1.144366197,76
Census Tract 2106.02,269,607,438,143,81856,1.312285518,82
Census Tract 304,271,566,316,66,75278,1.145200984,78
Census Tract 4111,271,510,84,10,159063,0.809142857,69
Census Tract 8386,271,295,49,20,23145,0.713385827,57
Census Tract 8388,271,478,281,69,37104,1.13466788,75
Census Tract 1303,272,644,690,209,69107,1.460606061,85
Census Tract 5807,272,683,441,245,46859,1.4015844,83
Census Tract 2205,273,721,200,14,101304,0.962748344,77
Census Tract 7505,274,1032,381,231,61650,1.296663191,86
Census Tract 8062.02,274,1245,619,350,74766,1.420016077,89
Census Tract 8395,274,219,227,30,112750,1.017333333,63
Census Tract 4208,275,458,136,29,54958,0.909799555,69
Census Tract 401,276,923,451,97,132625,1.211219233,84
Census Tract 4003,276,305,49,0,35625,0.63968254,56
Census Tract 8061.04,276,838,625,92,62163,1.291097761,85
Census Tract 8161,276,1128,759,247,86639,1.405394191,89
Census Tract 8170,276,444,571,306,71875,1.567939887,83
Census Tract 8415,276,392,96,32,31932,0.854271357,65
Census Tract 4604,277,483,328,105,55313,1.218776194,77
Census Tract 707,278,740,613,46,212381,1.254621348,83
Census Tract 4312,278,669,248,40,63625,1.04048583,77
Census Tract 6910,279,616,142,56,70000,0.977127173,74
Census Tract 8209.01,279,554,643,334,63655,1.570165746,85
Census Tract 406,280,697,203,9,134531,0.950378469,76
Census Tract 4309,280,331,169,37,62222,0.954712362,66
Census Tract 8243,280,494,511,238,58882,1.464215364,82
Census Tract 6603.01,281,194,53,38,26359,0.731448763,50
Census Tract 2924,282,185,90,103,49426,1.021212121,57
Census Tract 5501,282,796,1059,353,67409,1.595582329,89
Census Tract 6303,283,396,383,292,56667,1.505169867,79
Census Tract 3901,284,200,214,55,129375,1.05312085,62
Census Tract 6502,284,816,550,399,81643,1.519277696,86
Census Tract 3204,285,344,83,0,"250,000+",0.716292135,60
Census Tract 208.02,287,1054,486,339,52546,1.404893813,87
Census Tract 5806,287,377,676,136,56157,1.447831978,81
Census Tract 8125,287,830,366,72,133289,1.14340836,82
Census Tract 6304,288,633,545,256,35494,1.446573751,83
Census Tract 8083.01,288,828,1045,411,110848,1.613919129,89
Census Tract 8135,288,367,695,510,65321,1.767204301,85
Census Tract 309,290,782,332,64,145221,1.115803815,80
Census Tract 7506,290,549,223,140,55694,1.177204659,76
Census Tract 604,291,758,564,29,205086,1.201583435,82
Census Tract 8320,291,359,189,50,195156,0.997750281,67
Census Tract 2808,294,92,46,0,-,0.425925926,32
Census Tract 8401,294,611,191,66,57924,1.024956971,75
Census Tract 3007,295,449,591,216,41508,1.469374597,81
