Geographic Area Name,novehicle,onevehicle,twovehicle,threevehicle,Median income (dollars),Average vehicle,percent_households_with_car
Census Tract 8041.05,27,215,790,372,138953,2.073361823,98
Census Tract 8236.05,27,328,701,381,99980,1.999304106,98
Census Tract 8362,27,58,17,7,"250,000+",1.036697248,75
Census Tract 3301.01,28,1922,1049,0,204616,1.340446816,99
Census Tract 5808,28,266,127,91,56438,1.548828125,95
Census Tract 8042.04,28,663,519,588,155259,1.927141268,98
Census Tract 8030.17,29,954,1157,380,129602,1.749206349,99
Census Tract 8043.14,29,126,243,139,130089,1.916201117,95
Census Tract 8282.01,29,782,493,218,78750,1.591327201,98
Census Tract 513,30,428,523,73,209022,1.60626186,97
Census Tract 2303,30,111,65,64,46364,1.603703704,89
Census Tract 8020.03,30,137,432,180,127159,1.97817715,96
Census Tract 8046.09,30,783,986,489,159483,1.84527972,99
Census Tract 8313,30,191,80,27,54236,1.317073171,91
Census Tract 8046.11,31,855,564,311,104875,1.655877342,98
Census Tract 8048.09,31,374,756,370,112734,1.956890921,98
Census Tract 8061.03,31,616,820,465,99387,1.889751553,98
Census Tract 8078,31,155,457,150,138542,1.915510719,96
Census Tract 8181,31,350,318,196,118451,1.758659218,97
Census Tract 8222,31,296,693,187,95172,1.858326429,97
Census Tract 8301,31,236,486,240,90125,1.941591138,97
Census Tract 1201,32,423,724,334,158194,1.898876404,98
Census Tract 8021,32,248,717,176,162102,1.884057971,97
Census Tract 8036.07,32,344,1069,250,118631,1.906784661,98
Census Tract 8045.11,32,253,303,100,62306,1.684593023,95
Census Tract 8071,32,335,550,212,125294,1.834366696,97
Census Tract 8203,32,498,541,498,55292,1.959209688,98
Census Tract 8003,33,349,455,338,"250,000+",1.934468085,97
Census Tract 8025.04,33,372,943,688,86875,2.122789784,98
Census Tract 8030.10,33,412,840,404,131894,1.956187093,98
Census Tract 8044.05,33,345,488,203,70452,1.805425631,97
Census Tract 8049.02,33,380,1322,435,109544,1.994930876,98
Census Tract 8241.27,33,513,629,319,125787,1.825970549,98
Census Tract 4406,34,331,264,71,68385,1.531428571,95
Census Tract 8019.02,34,127,661,405,167250,2.171149144,97
Census Tract 8211.01,34,410,604,331,81196,1.893401015,98
Census Tract 8241.06,34,780,957,627,102967,1.907839867,99
Census Tract 1508,35,681,486,435,78125,1.806963958,98
Census Tract 8049.01,35,730,1041,440,130183,1.839715049,98
Census Tract 8103.02,35,564,392,103,140896,1.514625229,97
Census Tract 5802,36,284,400,100,41969,1.687804878,96
Census Tract 8110,36,739,622,298,133646,1.697345133,98
Census Tract 8245.09,36,306,827,370,109432,1.994801819,98
Census Tract 8046.10,37,498,547,91,88750,1.589940324,97
Census Tract 8084,37,385,717,326,123313,1.909215017,97
Census Tract 8185,37,845,1146,281,118873,1.723689909,98
Census Tract 8208,37,343,450,332,76694,1.926850258,97
Census Tract 8182,38,784,809,262,107639,1.684099313,98
Census Tract 8229,38,320,255,180,84688,1.727616646,95
Census Tract 8279.01,38,143,323,206,104808,1.981690141,95
Census Tract 8051.08,39,1150,1225,89,76696,1.544946065,98
Census Tract 8187,39,408,682,245,135355,1.824599709,97
Census Tract 8045.05,40,647,505,169,66797,1.590007348,97
Census Tract 8046.08,40,681,501,173,125156,1.578494624,97
Census Tract 8255.05,40,739,467,539,67533,1.843137255,98
Census Tract 8285.07,41,386,566,345,89433,1.908071749,97
Census Tract 8286.01,41,567,765,208,92470,1.721062619,97
Census Tract 8293.01,41,429,686,300,100000,1.855082418,97
Census Tract 8051.06,42,511,432,243,102853,1.713355049,97
Census Tract 8058.02,42,660,786,353,129375,1.787615426,98
Census Tract 8151,42,620,450,336,85677,1.745856354,97
Census Tract 1611,43,240,352,114,139659,1.716955941,94
Census Tract 8063,43,559,739,350,102321,1.825547014,97
Census Tract 8255.04,43,470,379,427,82181,1.902198635,97
Census Tract 8300.01,43,679,411,117,70431,1.4816,97
Census Tract 8041.04,44,281,1066,421,134398,2.028697572,98
Census Tract 8239.01,44,621,825,253,120449,1.7383821,97
Census Tract 5701,45,152,153,74,63654,1.603773585,89
Census Tract 8030.16,45,413,425,75,113125,1.553235908,95
Census Tract 8045.08,45,257,321,149,66563,1.743523316,94
Census Tract 8056,45,430,806,261,160870,1.832036316,97
Census Tract 8241.25,45,276,600,574,108611,2.139130435,97
Census Tract 8008,46,378,350,215,127273,1.742163802,95
Census Tract 8201.03,46,546,737,229,90234,1.737483954,97
Census Tract 8241.21,46,288,724,223,85893,1.8774395,96
Census Tract 8279.02,46,561,635,264,61613,1.741699867,97
Census Tract 8034,47,573,1053,511,134364,1.928571429,98
Census Tract 8188,47,633,962,310,123288,1.786372951,98
Census Tract 1702,48,414,475,250,85150,1.780960404,96
Census Tract 7202,48,708,573,262,104010,1.659333752,97
Census Tract 8011,48,407,890,252,206741,1.842830307,97
Census Tract 626,49,460,381,21,"250,000+",1.41053787,95
Census Tract 8030.05,49,436,422,196,133929,1.69356301,96
Census Tract 8085,49,337,652,329,114273,1.922457937,96
Census Tract 8112,49,615,768,335,82321,1.786078098,97
Census Tract 8226.01,49,399,844,231,103229,1.825344714,97
Census Tract 7403,50,654,965,238,142426,1.729417934,97
Census Tract 8050.01,50,509,949,350,129720,1.860602799,97
Census Tract 1704,51,761,596,209,89674,1.59554731,97
Census Tract 5205,51,485,630,305,67361,1.808293678,97
Census Tract 7005.02,51,244,468,328,102895,1.983501375,95
Census Tract 1505.01,52,577,615,234,104219,1.697564276,96
Census Tract 8285.05,52,943,991,731,89909,1.883695252,98
Census Tract 3902,53,531,293,27,105086,1.325221239,94
Census Tract 8236.03,53,205,145,114,61679,1.618955513,90
Census Tract 403,54,588,329,99,83250,1.442056075,95
Census Tract 1706,54,318,407,178,85721,1.740856844,94
Census Tract 6719,54,147,64,34,50865,1.260869565,82
Census Tract 8026.08,54,1627,883,328,89732,1.513485477,98
Census Tract 8041.09,54,255,587,225,164286,1.876895629,95
Census Tract 8043.08,54,1049,833,256,68214,1.588959854,98
Census Tract 8108,54,449,694,469,84645,1.947178872,97
Census Tract 8166,54,323,650,250,44911,1.858261551,96
Census Tract 8020.04,55,1280,798,64,45375,1.396449704,97
Census Tract 8278.04,55,699,425,130,94487,1.481283422,96
Census Tract 8420,55,158,103,29,174271,1.307246377,84
Census Tract 1711,56,501,394,314,94325,1.763636364,96
Census Tract 2108,56,262,69,34,64671,1.19239905,87
Census Tract 2517,56,175,89,68,58508,1.43556701,86
Census Tract 6407,56,289,479,145,63640,1.735810114,94
Census Tract 8075,56,265,521,197,119250,1.826756497,95
Census Tract 8158,56,229,198,135,102750,1.666666667,91
Census Tract 8286.02,56,367,696,274,104400,1.852835607,96
Census Tract 8296,56,509,542,80,84022,1.544229149,95
Census Tract 2225,57,235,170,97,98750,1.549194991,90
Census Tract 5604,57,160,181,64,67639,1.545454545,88
Census Tract 8009,57,619,751,219,124922,1.687727825,97
Census Tract 8027.01,57,497,1143,469,105887,1.934441367,97
Census Tract 8288.01,57,514,1020,240,103424,1.788093938,97
Census Tract 1103,58,765,775,250,96425,1.658549784,97
Census Tract 5803,58,259,206,184,66094,1.729844413,92
Census Tract 8051.09,58,567,725,358,95737,1.80971897,97
Census Tract 2406,59,353,211,28,167500,1.319508449,91
Census Tract 6405,59,668,571,212,82333,1.61986755,96
Census Tract 8065.02,59,438,685,226,77179,1.765625,96
Census Tract 8197,59,374,1091,230,159500,1.850627138,97
Census Tract 8304,59,854,537,109,61127,1.446440026,96
Census Tract 8057.01,60,593,885,325,165139,1.791733763,97
Census Tract 8209.02,60,371,647,477,99167,1.990996785,96
Census Tract 8210.01,60,636,574,302,61196,1.711195929,96
Census Tract 1910,61,277,207,201,87404,1.73458445,92
Census Tract 4906,61,219,165,128,43821,1.628272251,89
Census Tract 6707,61,100,114,38,41000,1.412140575,81
Census Tract 8047.10,61,451,672,267,112132,1.789110958,96
Census Tract 8104,61,545,945,596,143558,1.966930601,97
Census Tract 8245.08,61,913,513,126,82745,1.436453813,96
Census Tract 8249,61,373,539,134,41076,1.673893406,94
Census Tract 8309,61,675,414,107,114844,1.451073986,95
Census Tract 8310,61,631,267,41,219688,1.288,94
Census Tract 5201,62,139,172,121,55536,1.712550607,87
Census Tract 8153,62,396,604,162,86534,1.70751634,95
Census Tract 8278.01,62,651,749,272,67336,1.709919262,96
Census Tract 8066,63,266,372,452,99875,2.052038161,95
Census Tract 8228.01,63,587,564,205,119507,1.642001409,96
Census Tract 1001,64,662,1097,271,90788,1.752148997,97
Census Tract 8019.01,64,774,734,270,114896,1.65689468,97
Census Tract 8103.01,64,663,454,211,90089,1.583333333,95
Census Tract 8163,64,497,565,349,63480,1.812881356,96
Census Tract 8164.01,64,414,359,374,59891,1.861271676,95
Census Tract 8054.01,65,463,600,351,116000,1.83637593,96
Census Tract 8245.03,65,1189,1021,410,84144,1.661452514,98
Census Tract 8285.03,65,612,500,309,46029,1.708613728,96
Census Tract 8030.12,66,397,352,104,87098,1.537540805,93
Census Tract 8076,66,631,609,680,90236,1.958207452,97
Census Tract 8232,66,728,679,361,80667,1.727917121,96
Census Tract 2003,67,333,129,114,94087,1.451010886,90
Census Tract 2203,67,524,264,43,121908,1.315144766,93
Census Tract 6504,67,534,528,474,58143,1.878976918,96
Census Tract 7302.02,67,448,351,129,86821,1.544723618,93
Census Tract 8036.04,67,654,836,227,91420,1.685538117,96
Census Tract 8045.10,67,283,591,436,63605,2.013798112,95
Census Tract 8164.02,67,287,473,425,52708,2.003194888,95
Census Tract 8177,67,741,583,393,83478,1.729820628,96
Census Tract 8194,67,686,857,479,82637,1.836764002,97
Census Tract 510,68,381,248,18,169712,1.302097902,90
Census Tract 1703,68,554,828,349,92969,1.81045025,96
Census Tract 5305.02,68,237,170,101,64397,1.527777778,88
Census Tract 8053.02,68,467,452,370,94777,1.828297716,95
Census Tract 8119,68,540,869,337,177321,1.813120176,96
Census Tract 8202.02,68,565,520,167,68083,1.595454545,95
Census Tract 8206.03,68,647,631,481,83536,1.834701697,96
Census Tract 8278.05,68,288,301,315,109000,1.887860082,93
Census Tract 7002,69,497,630,634,83892,1.999453552,96
Census Tract 8022,69,448,1116,266,159306,1.831490258,96
Census Tract 8283,69,646,490,203,79643,1.587357955,95
Census Tract 8028.02,70,630,1103,487,125042,1.876419214,97
Census Tract 8045.06,70,501,784,471,119929,1.906900329,96
Census Tract 8156,70,841,657,317,80240,1.647745358,96
Census Tract 8256,70,688,471,327,49816,1.678020566,96
Census Tract 8299.02,70,1111,792,407,89239,1.645378151,97
Census Tract 1507,71,701,434,134,85433,1.470895522,95
Census Tract 5609,71,517,832,419,117630,1.86949429,96
Census Tract 8048.06,71,227,438,296,81136,1.929263566,93
Census Tract 8176,71,453,439,226,49444,1.689655172,94
Census Tract 8220,71,865,536,273,63523,1.579369628,96
Census Tract 507,72,406,202,14,195417,1.227665706,90
Census Tract 2004.02,72,469,292,398,55583,1.825345248,94
Census Tract 2428,72,311,190,38,123382,1.317512275,88
Census Tract 8037.01,72,529,527,160,135139,1.601708075,94
Census Tract 8089,72,592,765,171,191583,1.646875,96
Census Tract 8186,72,565,955,270,115662,1.764232009,96
Census Tract 8253.03,72,471,844,220,80189,1.754200373,96
Census Tract 8038,73,454,864,348,112326,1.855089132,96
Census Tract 8147,73,543,540,286,80525,1.720527046,95
Census Tract 8278.02,73,277,399,212,91065,1.780437045,92
Census Tract 503,74,461,444,67,171731,1.481835564,93
Census Tract 6711,74,147,36,0,35536,0.852140078,71
Census Tract 8030.14,74,568,660,122,79405,1.582865169,95
Census Tract 8041.08,74,1219,521,61,101471,1.303466667,96
Census Tract 8238.06,74,603,573,429,69342,1.808219178,96
Census Tract 8300.03,74,955,1274,678,136190,1.857430392,98
Census Tract 2304,75,384,182,91,56250,1.394808743,90
Census Tract 2510,75,165,84,26,-,1.174285714,79
Census Tract 6408,75,157,223,115,61667,1.663157895,87
Census Tract 7503,75,272,522,87,120074,1.64958159,92
Census Tract 8016.06,75,736,1176,709,173000,1.934347181,97
Census Tract 8202.04,75,894,695,302,122684,1.622583927,96
Census Tract 1202,76,626,810,282,150563,1.723522854,96
Census Tract 7404,76,737,796,220,120592,1.634226353,96
Census Tract 7708,76,633,1004,338,78641,1.782057533,96
Census Tract 8239.03,76,395,771,430,113491,1.930023923,95
Census Tract 8117.01,77,456,377,229,68871,1.665496049,93
Census Tract 512,78,403,150,4,176458,1.125984252,88
Census Tract 8044.03,78,630,1204,634,91742,1.940298507,97
Census Tract 8167,78,261,259,314,61691,1.887061404,91
Census Tract 8217,78,488,791,330,96371,1.813870777,95
Census Tract 8238.05,78,827,414,156,72359,1.439322034,95
Census Tract 8300.08,78,384,703,345,101620,1.870860927,95
Census Tract 511,79,405,216,14,179167,1.231092437,89
Census Tract 8174,79,353,381,357,64954,1.868376068,93
Census Tract 8233.03,79,621,627,299,85417,1.704797048,95
Census Tract 1203,80,848,1137,447,166099,1.776671975,97
Census Tract 1504.02,80,572,421,147,101458,1.520491803,93
Census Tract 2408,80,310,159,26,115278,1.227826087,86
Census Tract 7207,80,535,514,96,113750,1.511020408,93
Census Tract 8007,80,454,743,409,"250,000+",1.878410439,95
Census Tract 8223.01,80,226,350,412,97188,2.024344569,93
Census Tract 2228,81,244,59,22,86500,1.054187192,80
Census Tract 2602,81,147,19,44,39485,1.089347079,72
Census Tract 7303,81,143,92,46,51563,1.284530387,78
Census Tract 8082,81,476,753,449,87321,1.892552587,95
Census Tract 8121,81,409,825,214,127188,1.766514061,95
Census Tract 8131,82,874,699,95,113393,1.461142857,95
Census Tract 1610,83,457,223,39,131875,1.271820449,90
Census Tract 3104,83,430,20,24,125750,0.973070018,85
Census Tract 6404,83,402,335,294,94167,1.754039497,93
Census Tract 7707,83,527,296,148,79063,1.482922201,92
Census Tract 8002,83,837,1049,490,"250,000+",1.791378609,97
Census Tract 8140,83,510,482,255,70500,1.683458647,94
Census Tract 1007,84,422,765,540,113542,1.972390944,95
Census Tract 1105.01,84,886,594,270,116574,1.572519084,95
