NAME,novehicle,onevehicle,twovehicle,threevehicle,medianincome
"Census Tract 5303, Cook County, Illinois",132,830,462,45,49955
"Census Tract 5304, Cook County, Illinois",202,254,168,115,77041
"Census Tract 5305.01, Cook County, Illinois",446,635,320,356,51189
"Census Tract 5305.02, Cook County, Illinois",68,237,170,101,64397
"Census Tract 5305.03, Cook County, Illinois",216,616,479,218,58775
"Census Tract 5306, Cook County, Illinois",225,438,155,54,48438
"Census Tract 5401.01, Cook County, Illinois",673,718,136,41,20850
"Census Tract 5401.02, Cook County, Illinois",579,516,44,50,29831
"Census Tract 5501, Cook County, Illinois",282,796,1059,353,67409
"Census Tract 5502, Cook County, Illinois",130,339,470,78,74643
"Census Tract 5601, Cook County, Illinois",26,143,91,66,75208
"Census Tract 5602, Cook County, Illinois",93,220,207,39,71719
"Census Tract 5603, Cook County, Illinois",165,272,362,225,69821
"Census Tract 5604, Cook County, Illinois",57,160,181,64,67639
"Census Tract 5607, Cook County, Illinois",181,312,526,227,78237
"Census Tract 5608, Cook County, Illinois",101,726,773,355,96029
"Census Tract 5609, Cook County, Illinois",71,517,832,419,117630
"Census Tract 5610, Cook County, Illinois",116,705,1057,334,126982
"Census Tract 5611, Cook County, Illinois",96,809,865,314,99762
"Census Tract 5701, Cook County, Illinois",45,152,153,74,63654
"Census Tract 5702, Cook County, Illinois",218,202,173,162,76066
"Census Tract 5703, Cook County, Illinois",386,499,555,224,60625
"Census Tract 5704, Cook County, Illinois",89,295,103,63,75156
"Census Tract 5705, Cook County, Illinois",90,269,270,110,45607
"Census Tract 5801, Cook County, Illinois",114,423,234,97,51736
"Census Tract 5802, Cook County, Illinois",36,284,400,100,41969
"Census Tract 5803, Cook County, Illinois",58,259,206,184,66094
"Census Tract 5804, Cook County, Illinois",178,691,299,269,57500
"Census Tract 5805.01, Cook County, Illinois",186,624,463,189,41952
"Census Tract 5805.02, Cook County, Illinois",366,583,254,207,41861
"Census Tract 5806, Cook County, Illinois",287,377,676,136,56157
"Census Tract 5807, Cook County, Illinois",272,683,441,245,46859
"Census Tract 5808, Cook County, Illinois",28,266,127,91,56438
"Census Tract 5905, Cook County, Illinois",115,376,159,81,79342
"Census Tract 5906, Cook County, Illinois",198,519,470,124,57045
"Census Tract 5907, Cook County, Illinois",152,333,450,96,88958
"Census Tract 6004, Cook County, Illinois",387,607,361,183,76667
"Census Tract 6006, Cook County, Illinois",268,610,211,55,46111
"Census Tract 6007, Cook County, Illinois",431,422,247,71,39559
"Census Tract 6009, Cook County, Illinois",247,574,349,115,71607
"Census Tract 601, Cook County, Illinois",232,651,305,100,167917
"Census Tract 602, Cook County, Illinois",305,628,104,54,201917
"Census Tract 603, Cook County, Illinois",239,525,340,81,183125
"Census Tract 604, Cook County, Illinois",291,758,564,29,205086
"Census Tract 605, Cook County, Illinois",325,277,64,10,193500
"Census Tract 608, Cook County, Illinois",1330,1945,157,29,87361
"Census Tract 609, Cook County, Illinois",1985,2434,222,0,145909
"Census Tract 610, Cook County, Illinois",394,519,165,9,191719
"Census Tract 6103, Cook County, Illinois",596,750,387,228,32167
"Census Tract 6104, Cook County, Illinois",108,242,158,23,43656
"Census Tract 6108, Cook County, Illinois",97,155,276,24,78333
"Census Tract 611, Cook County, Illinois",202,331,140,11,133125
"Census Tract 6112, Cook County, Illinois",171,383,203,49,30000
"Census Tract 6113, Cook County, Illinois",445,315,200,64,41596
"Census Tract 6114, Cook County, Illinois",222,362,128,107,41809
"Census Tract 6115, Cook County, Illinois",248,527,155,27,35820
"Census Tract 6116, Cook County, Illinois",115,246,93,47,39076
"Census Tract 6117, Cook County, Illinois",86,535,92,85,23646
"Census Tract 6118, Cook County, Illinois",199,282,171,43,71125
"Census Tract 6119, Cook County, Illinois",323,116,74,27,45417
"Census Tract 612, Cook County, Illinois",209,330,202,60,153438
"Census Tract 6120, Cook County, Illinois",182,170,101,24,57417
"Census Tract 6121, Cook County, Illinois",144,142,48,21,38826
"Census Tract 6122, Cook County, Illinois",350,445,229,99,32500
"Census Tract 615, Cook County, Illinois",138,478,217,33,194375
"Census Tract 618, Cook County, Illinois",391,299,55,11,119750
"Census Tract 619.01, Cook County, Illinois",1491,750,81,0,119013
"Census Tract 619.02, Cook County, Illinois",1178,1329,176,71,112917
"Census Tract 620, Cook County, Illinois",676,716,168,17,142375
"Census Tract 6201, Cook County, Illinois",20,303,417,413,65217
"Census Tract 6202, Cook County, Illinois",98,347,168,111,73542
"Census Tract 6203, Cook County, Illinois",489,707,650,467,61250
"Census Tract 6204, Cook County, Illinois",123,369,524,195,70078
"Census Tract 621, Cook County, Illinois",759,918,149,39,185813
"Census Tract 622, Cook County, Illinois",180,830,237,24,205536
"Census Tract 623, Cook County, Illinois",111,320,146,72,"250,000+"
"Census Tract 624, Cook County, Illinois",120,457,89,34,226842
"Census Tract 625, Cook County, Illinois",134,394,166,5,203750
"Census Tract 626, Cook County, Illinois",49,460,381,21,"250,000+"
"Census Tract 627, Cook County, Illinois",232,569,312,103,"250,000+"
"Census Tract 628, Cook County, Illinois",187,826,310,61,"250,000+"
"Census Tract 629, Cook County, Illinois",481,857,386,64,191071
"Census Tract 630, Cook County, Illinois",698,807,202,89,187788
"Census Tract 6303, Cook County, Illinois",283,396,383,292,56667
"Census Tract 6304, Cook County, Illinois",288,633,545,256,35494
"Census Tract 6305, Cook County, Illinois",228,648,450,240,43547
"Census Tract 6306, Cook County, Illinois",179,319,244,74,46951
"Census Tract 6308, Cook County, Illinois",241,464,587,395,56111
"Census Tract 6309, Cook County, Illinois",411,478,340,141,49083
"Census Tract 631, Cook County, Illinois",692,532,122,0,152321
"Census Tract 632, Cook County, Illinois",2064,1728,390,0,175900
"Census Tract 633.01, Cook County, Illinois",1274,522,171,0,121591
"Census Tract 633.02, Cook County, Illinois",1438,1117,94,0,136509
"Census Tract 633.03, Cook County, Illinois",388,397,23,26,159792
"Census Tract 634, Cook County, Illinois",414,626,147,39,191288
"Census Tract 6401, Cook County, Illinois",100,186,108,64,54792
"Census Tract 6403, Cook County, Illinois",302,752,931,309,66542
"Census Tract 6404, Cook County, Illinois",83,402,335,294,94167
"Census Tract 6405, Cook County, Illinois",59,668,571,212,82333
"Census Tract 6406, Cook County, Illinois",210,860,486,183,56806
"Census Tract 6407, Cook County, Illinois",56,289,479,145,63640
"Census Tract 6408, Cook County, Illinois",75,157,223,115,61667
"Census Tract 6501, Cook County, Illinois",338,427,468,144,50250
"Census Tract 6502, Cook County, Illinois",284,816,550,399,81643
"Census Tract 6503.01, Cook County, Illinois",183,462,580,266,67606
"Census Tract 6503.02, Cook County, Illinois",7,408,465,232,49811
"Census Tract 6504, Cook County, Illinois",67,534,528,474,58143
"Census Tract 6505, Cook County, Illinois",246,400,523,375,79712
"Census Tract 6603.01, Cook County, Illinois",281,194,53,38,26359
"Census Tract 6603.02, Cook County, Illinois",311,644,363,109,37397
"Census Tract 6604, Cook County, Illinois",207,590,357,318,47330
"Census Tract 6605, Cook County, Illinois",234,567,225,303,45855
"Census Tract 6606, Cook County, Illinois",657,797,230,204,36632
"Census Tract 6607, Cook County, Illinois",256,244,75,35,26786
"Census Tract 6608, Cook County, Illinois",461,996,330,238,43289
"Census Tract 6609, Cook County, Illinois",395,543,463,91,43598
"Census Tract 6610, Cook County, Illinois",574,838,457,237,43601
"Census Tract 6611, Cook County, Illinois",148,485,843,358,55100
"Census Tract 6701, Cook County, Illinois",162,130,100,0,-
"Census Tract 6702, Cook County, Illinois",167,211,22,23,34632
"Census Tract 6703, Cook County, Illinois",166,164,66,28,34464
"Census Tract 6704, Cook County, Illinois",262,186,92,21,36742
"Census Tract 6705, Cook County, Illinois",89,181,65,22,59028
"Census Tract 6706, Cook County, Illinois",139,121,65,3,32344
"Census Tract 6707, Cook County, Illinois",61,100,114,38,41000
"Census Tract 6708, Cook County, Illinois",256,157,48,10,28000
"Census Tract 6709, Cook County, Illinois",139,312,15,23,32827
"Census Tract 6711, Cook County, Illinois",74,147,36,0,35536
"Census Tract 6712, Cook County, Illinois",138,130,35,0,54500
"Census Tract 6713, Cook County, Illinois",250,307,123,21,33819
"Census Tract 6714, Cook County, Illinois",125,280,86,67,23977
"Census Tract 6715, Cook County, Illinois",226,259,216,118,52587
"Census Tract 6716, Cook County, Illinois",362,205,60,42,38250
"Census Tract 6718, Cook County, Illinois",96,229,31,22,43250
"Census Tract 6719, Cook County, Illinois",54,147,64,34,50865
"Census Tract 6720, Cook County, Illinois",227,403,274,116,55014
"Census Tract 6805, Cook County, Illinois",134,202,73,52,38500
"Census Tract 6806, Cook County, Illinois",117,248,24,50,45341
"Census Tract 6809, Cook County, Illinois",1246,480,123,13,23008
"Census Tract 6810, Cook County, Illinois",517,307,119,97,32589
"Census Tract 6811, Cook County, Illinois",326,444,98,0,18750
"Census Tract 6812, Cook County, Illinois",395,240,128,24,23852
"Census Tract 6813, Cook County, Illinois",388,289,85,36,22813
"Census Tract 6814, Cook County, Illinois",213,345,226,26,41864
"Census Tract 6903, Cook County, Illinois",323,367,24,26,31923
"Census Tract 6904, Cook County, Illinois",509,741,157,39,27750
"Census Tract 6905, Cook County, Illinois",144,109,22,44,36935
"Census Tract 6909, Cook County, Illinois",604,694,282,171,59758
"Census Tract 6910, Cook County, Illinois",279,616,142,56,70000
"Census Tract 6911, Cook County, Illinois",453,274,81,63,25278
"Census Tract 6912, Cook County, Illinois",482,454,87,16,28854
"Census Tract 6913, Cook County, Illinois",361,551,89,90,49191
"Census Tract 6914, Cook County, Illinois",455,498,199,106,36615
"Census Tract 6915, Cook County, Illinois",378,406,50,40,19554
"Census Tract 7001, Cook County, Illinois",85,272,345,330,76480
"Census Tract 7002, Cook County, Illinois",69,497,630,634,83892
"Census Tract 7003.01, Cook County, Illinois",95,545,730,449,67272
"Census Tract 7003.02, Cook County, Illinois",110,594,709,328,89970
"Census Tract 7004.01, Cook County, Illinois",139,574,774,401,90119
"Census Tract 7004.02, Cook County, Illinois",120,475,403,162,66591
"Census Tract 7005.01, Cook County, Illinois",200,915,821,442,77157
"Census Tract 7005.02, Cook County, Illinois",51,244,468,328,102895
"Census Tract 701.01, Cook County, Illinois",876,1254,137,0,127563
"Census Tract 701.02, Cook County, Illinois",1023,817,179,95,219214
"Census Tract 701.03, Cook County, Illinois",655,473,7,0,70469
"Census Tract 702, Cook County, Illinois",713,995,321,54,184375
"Census Tract 703, Cook County, Illinois",344,914,306,32,249167
"Census Tract 704, Cook County, Illinois",501,652,343,47,"250,000+"
"Census Tract 705, Cook County, Illinois",355,512,282,113,248750
"Census Tract 706, Cook County, Illinois",124,491,490,81,"250,000+"
"Census Tract 707, Cook County, Illinois",278,740,613,46,212381
"Census Tract 710, Cook County, Illinois",173,562,189,59,"250,000+"
"Census Tract 7101, Cook County, Illinois",242,269,65,27,33929
"Census Tract 7102, Cook County, Illinois",641,687,202,113,43108
"Census Tract 7103, Cook County, Illinois",131,161,167,50,42738
"Census Tract 7104, Cook County, Illinois",449,1099,397,169,53235
"Census Tract 7105, Cook County, Illinois",480,784,162,100,41386
"Census Tract 7106, Cook County, Illinois",378,387,67,12,48676
"Census Tract 7107, Cook County, Illinois",431,660,164,76,50321
"Census Tract 7108, Cook County, Illinois",1011,535,334,14,22269
"Census Tract 7109, Cook County, Illinois",219,333,110,79,35516
"Census Tract 711, Cook County, Illinois",298,513,222,30,"250,000+"
"Census Tract 7110, Cook County, Illinois",268,515,274,79,40000
"Census Tract 7111, Cook County, Illinois",109,351,288,105,62583
"Census Tract 7112, Cook County, Illinois",363,539,637,192,75714
"Census Tract 7113, Cook County, Illinois",192,261,141,43,56250
"Census Tract 7114, Cook County, Illinois",148,390,216,91,43417
"Census Tract 7115, Cook County, Illinois",127,384,293,42,46840
"Census Tract 712, Cook County, Illinois",368,402,117,0,130833
"Census Tract 713, Cook County, Illinois",549,1247,388,0,158750
"Census Tract 714, Cook County, Illinois",983,1587,262,15,214784
"Census Tract 715, Cook County, Illinois",1656,1757,297,95,193646
"Census Tract 716, Cook County, Illinois",154,371,167,53,220357
"Census Tract 717, Cook County, Illinois",101,396,126,33,238036
"Census Tract 718, Cook County, Illinois",152,482,392,23,216250
"Census Tract 7201, Cook County, Illinois",15,328,541,188,165833
"Census Tract 7202, Cook County, Illinois",48,708,573,262,104010
"Census Tract 7203, Cook County, Illinois",84,510,727,206,151125
"Census Tract 7204, Cook County, Illinois",9,222,306,115,106875
"Census Tract 7205, Cook County, Illinois",22,228,304,156,159148
"Census Tract 7206, Cook County, Illinois",14,160,340,99,141830
"Census Tract 7207, Cook County, Illinois",80,535,514,96,113750
"Census Tract 7301, Cook County, Illinois",167,425,218,106,60298
"Census Tract 7302.01, Cook County, Illinois",570,854,528,103,63750
"Census Tract 7302.02, Cook County, Illinois",67,448,351,129,86821
"Census Tract 7303, Cook County, Illinois",81,143,92,46,51563
"Census Tract 7304, Cook County, Illinois",143,568,537,144,101500
"Census Tract 7305, Cook County, Illinois",301,761,428,250,65111
"Census Tract 7306, Cook County, Illinois",106,568,346,109,52204
"Census Tract 7307, Cook County, Illinois",129,303,223,87,54669
"Census Tract 7401, Cook County, Illinois",95,578,387,126,113036
"Census Tract 7402, Cook County, Illinois",120,601,848,454,135577
"Census Tract 7403, Cook County, Illinois",50,654,965,238,142426
"Census Tract 7404, Cook County, Illinois",76,737,796,220,120592
"Census Tract 7501, Cook County, Illinois",206,600,365,210,73654
"Census Tract 7502, Cook County, Illinois",122,633,441,125,104653
"Census Tract 7503, Cook County, Illinois",75,272,522,87,120074
"Census Tract 7504, Cook County, Illinois",27,624,414,177,128696
"Census Tract 7505, Cook County, Illinois",274,1032,381,231,61650
"Census Tract 7506, Cook County, Illinois",290,549,223,140,55694
"Census Tract 7608.01, Cook County, Illinois",223,1771,376,28,82167
"Census Tract 7608.02, Cook County, Illinois",116,602,321,151,85875
"Census Tract 7608.03, Cook County, Illinois",257,1248,974,393,66422
"Census Tract 7702.01, Cook County, Illinois",248,1227,997,351,86695
"Census Tract 7702.02, Cook County, Illinois",100,909,687,232,90547
"Census Tract 7703, Cook County, Illinois",91,1053,1056,496,90174
"Census Tract 7704, Cook County, Illinois",101,391,698,410,99194
"Census Tract 7705, Cook County, Illinois",19,285,479,237,39731
"Census Tract 7706.01, Cook County, Illinois",0,283,469,359,108674
"Census Tract 7706.02, Cook County, Illinois",134,516,546,335,75387
"Census Tract 7707, Cook County, Illinois",83,527,296,148,79063
"Census Tract 7708, Cook County, Illinois",76,633,1004,338,78641
"Census Tract 7709.01, Cook County, Illinois",192,658,737,300,99986
"Census Tract 7709.02, Cook County, Illinois",116,600,500,248,81923
"Census Tract 8001, Cook County, Illinois",24,188,448,183,"250,000+"
"Census Tract 8002, Cook County, Illinois",83,837,1049,490,"250,000+"
"Census Tract 8003, Cook County, Illinois",33,349,455,338,"250,000+"
"Census Tract 8004, Cook County, Illinois",14,270,644,260,"250,000+"
"Census Tract 8005, Cook County, Illinois",27,302,1070,405,"250,000+"
"Census Tract 8006, Cook County, Illinois",13,110,409,150,"250,000+"
"Census Tract 8007, Cook County, Illinois",80,454,743,409,"250,000+"
"Census Tract 8008, Cook County, Illinois",46,378,350,215,127273
"Census Tract 8009, Cook County, Illinois",57,619,751,219,124922
"Census Tract 801, Cook County, Illinois",1531,2225,209,174,201438
"Census Tract 8010, Cook County, Illinois",172,756,939,288,159565
"Census Tract 8011, Cook County, Illinois",48,407,890,252,206741
"Census Tract 8012, Cook County, Illinois",21,413,769,212,"250,000+"
"Census Tract 8013, Cook County, Illinois",121,685,659,231,"250,000+"
"Census Tract 8014, Cook County, Illinois",7,322,553,260,144455
"Census Tract 8015, Cook County, Illinois",232,865,946,371,151063
"Census Tract 8016.01, Cook County, Illinois",170,544,718,282,147917
"Census Tract 8016.03, Cook County, Illinois",312,380,522,271,51598
"Census Tract 8016.05, Cook County, Illinois",88,550,1053,408,170625
"Census Tract 8016.06, Cook County, Illinois",75,736,1176,709,173000
"Census Tract 8016.07, Cook County, Illinois",98,605,1013,356,141932
"Census Tract 8016.08, Cook County, Illinois",187,777,1454,258,143627
"Census Tract 8017.01, Cook County, Illinois",0,259,584,290,211000
"Census Tract 8017.02, Cook County, Illinois",18,472,737,355,176679
"Census Tract 8018, Cook County, Illinois",116,709,785,746,224565
"Census Tract 8019.01, Cook County, Illinois",64,774,734,270,114896
"Census Tract 8019.02, Cook County, Illinois",34,127,661,405,167250
"Census Tract 802.01, Cook County, Illinois",713,1323,112,19,166719
"Census Tract 802.02, Cook County, Illinois",987,1149,157,0,247411
"Census Tract 8020.02, Cook County, Illinois",10,370,807,474,145197
"Census Tract 8020.03, Cook County, Illinois",30,137,432,180,127159
"Census Tract 8020.04, Cook County, Illinois",55,1280,798,64,45375
"Census Tract 8021, Cook County, Illinois",32,248,717,176,162102
"Census Tract 8022, Cook County, Illinois",69,448,1116,266,159306
"Census Tract 8023, Cook County, Illinois",394,997,731,378,195078
"Census Tract 8024.02, Cook County, Illinois",126,955,1163,298,82889
"Census Tract 8024.03, Cook County, Illinois",24,490,300,24,100000
"Census Tract 8024.04, Cook County, Illinois",306,1143,1169,425,60402
"Census Tract 8025.03, Cook County, Illinois",116,975,982,502,107643
"Census Tract 8025.04, Cook County, Illinois",33,372,943,688,86875
"Census Tract 8025.05, Cook County, Illinois",162,1209,841,182,61968
"Census Tract 8025.06, Cook County, Illinois",19,246,266,259,99333
"Census Tract 8026.05, Cook County, Illinois",114,1345,1068,499,114028
"Census Tract 8026.07, Cook County, Illinois",0,83,175,147,130714
"Census Tract 8026.08, Cook County, Illinois",54,1627,883,328,89732
"Census Tract 8026.09, Cook County, Illinois",88,1326,942,238,66583
"Census Tract 8026.10, Cook County, Illinois",10,217,347,182,124375
"Census Tract 8027.01, Cook County, Illinois",57,497,1143,469,105887
"Census Tract 8027.02, Cook County, Illinois",101,521,757,294,127708
"Census Tract 8028.01, Cook County, Illinois",20,594,936,286,130536
"Census Tract 8028.02, Cook County, Illinois",70,630,1103,487,125042
"Census Tract 8029, Cook County, Illinois",18,560,1050,422,171425
"Census Tract 803, Cook County, Illinois",1018,1396,423,0,199869
"Census Tract 8030.05, Cook County, Illinois",49,436,422,196,133929
"Census Tract 8030.07, Cook County, Illinois",101,811,1028,216,106186
"Census Tract 8030.08, Cook County, Illinois",100,309,955,302,143884
"Census Tract 8030.10, Cook County, Illinois",33,412,840,404,131894
"Census Tract 8030.12, Cook County, Illinois",66,397,352,104,87098
"Census Tract 8030.13, Cook County, Illinois",92,797,1112,341,137981
"Census Tract 8030.14, Cook County, Illinois",74,568,660,122,79405
"Census Tract 8030.15, Cook County, Illinois",211,414,953,354,115647
"Census Tract 8030.16, Cook County, Illinois",45,413,425,75,113125
"Census Tract 8030.17, Cook County, Illinois",29,954,1157,380,129602
"Census Tract 8031, Cook County, Illinois",16,232,619,291,153182
"Census Tract 8032, Cook County, Illinois",439,657,674,402,128125
"Census Tract 8033, Cook County, Illinois",267,1503,1031,148,150227
"Census Tract 8034, Cook County, Illinois",47,573,1053,511,134364
"Census Tract 8035, Cook County, Illinois",258,589,1063,294,155128
"Census Tract 8036.03, Cook County, Illinois",24,361,1018,752,192390
"Census Tract 8036.04, Cook County, Illinois",67,654,836,227,91420
"Census Tract 8036.05, Cook County, Illinois",111,793,1193,454,108243
"Census Tract 8036.07, Cook County, Illinois",32,344,1069,250,118631
"Census Tract 8036.08, Cook County, Illinois",169,1009,1597,459,145324
"Census Tract 8036.11, Cook County, Illinois",138,855,904,282,70000
"Census Tract 8036.12, Cook County, Illinois",124,464,621,97,53991
"Census Tract 8036.13, Cook County, Illinois",0,342,485,203,65436
"Census Tract 8036.14, Cook County, Illinois",111,689,660,146,48908
"Census Tract 8036.15, Cook County, Illinois",13,525,407,90,117292
"Census Tract 8036.16, Cook County, Illinois",12,806,762,497,98083
"Census Tract 8037.01, Cook County, Illinois",72,529,527,160,135139
"Census Tract 8037.02, Cook County, Illinois",166,955,1225,237,132339
"Census Tract 8038, Cook County, Illinois",73,454,864,348,112326
"Census Tract 8039.01, Cook County, Illinois",140,1131,590,118,99125
"Census Tract 8039.02, Cook County, Illinois",16,282,608,322,96875
"Census Tract 804, Cook County, Illinois",672,1158,122,14,-
"Census Tract 8040, Cook County, Illinois",134,664,747,395,96613
"Census Tract 8041.02, Cook County, Illinois",0,512,1339,587,149957
"Census Tract 8041.04, Cook County, Illinois",44,281,1066,421,134398
"Census Tract 8041.05, Cook County, Illinois",27,215,790,372,138953
"Census Tract 8041.06, Cook County, Illinois",13,553,1528,548,125909
"Census Tract 8041.08, Cook County, Illinois",74,1219,521,61,101471
"Census Tract 8041.09, Cook County, Illinois",54,255,587,225,164286
"Census Tract 8042.02, Cook County, Illinois",134,486,1291,746,162363
"Census Tract 8042.03, Cook County, Illinois",0,78,408,515,168580
"Census Tract 8042.04, Cook County, Illinois",28,663,519,588,155259
"Census Tract 8043.05, Cook County, Illinois",237,869,958,523,90255
"Census Tract 8043.06, Cook County, Illinois",103,338,571,1232,97850
"Census Tract 8043.08, Cook County, Illinois",54,1049,833,256,68214
"Census Tract 8043.09, Cook County, Illinois",26,270,338,302,99063
"Census Tract 8043.12, Cook County, Illinois",6,75,350,231,138402
"Census Tract 8043.13, Cook County, Illinois",0,597,1268,352,109131
"Census Tract 8043.14, Cook County, Illinois",29,126,243,139,130089
"Census Tract 8043.15, Cook County, Illinois",26,238,390,179,96163
"Census Tract 8043.16, Cook County, Illinois",13,453,613,520,105594
"Census Tract 8044.03, Cook County, Illinois",78,630,1204,634,91742
"Census Tract 8044.04, Cook County, Illinois",12,314,618,710,81938
"Census Tract 8044.05, Cook County, Illinois",33,345,488,203,70452
"Census Tract 8044.06, Cook County, Illinois",16,454,748,590,78487
"Census Tract 8045.05, Cook County, Illinois",40,647,505,169,66797
"Census Tract 8045.06, Cook County, Illinois",70,501,784,471,119929
"Census Tract 8045.08, Cook County, Illinois",45,257,321,149,66563
"Census Tract 8045.09, Cook County, Illinois",121,319,692,470,91618
"Census Tract 8045.10, Cook County, Illinois",67,283,591,436,63605
"Census Tract 8045.11, Cook County, Illinois",32,253,303,100,62306
"Census Tract 8045.12, Cook County, Illinois",0,509,555,226,128571
"Census Tract 8045.13, Cook County, Illinois",0,169,943,266,95313
"Census Tract 8045.14, Cook County, Illinois",185,335,665,317,149148
"Census Tract 8046.03, Cook County, Illinois",133,1617,684,337,91004
"Census Tract 8046.06, Cook County, Illinois",17,583,1383,493,153199
"Census Tract 8046.07, Cook County, Illinois",188,533,1138,668,112368
"Census Tract 8046.08, Cook County, Illinois",40,681,501,173,125156
"Census Tract 8046.09, Cook County, Illinois",30,783,986,489,159483
"Census Tract 8046.10, Cook County, Illinois",37,498,547,91,88750
"Census Tract 8046.11, Cook County, Illinois",31,855,564,311,104875
"Census Tract 8047.01, Cook County, Illinois",185,933,948,323,93469
"Census Tract 8047.05, Cook County, Illinois",89,572,776,210,83644
"Census Tract 8047.06, Cook County, Illinois",23,80,375,208,117870
"Census Tract 8047.09, Cook County, Illinois",347,1008,891,525,83756
"Census Tract 8047.10, Cook County, Illinois",61,451,672,267,112132
"Census Tract 8047.11, Cook County, Illinois",87,1287,1033,321,80139
"Census Tract 8047.12, Cook County, Illinois",5,624,793,381,96736
"Census Tract 8047.13, Cook County, Illinois",254,1085,523,292,94336
"Census Tract 8047.14, Cook County, Illinois",14,426,449,359,92632
"Census Tract 8047.15, Cook County, Illinois",85,568,358,161,45160
"Census Tract 8047.16, Cook County, Illinois",8,316,766,344,100952
"Census Tract 8048.03, Cook County, Illinois",26,547,981,286,83333
"Census Tract 8048.04, Cook County, Illinois",265,945,926,436,91811
"Census Tract 8048.05, Cook County, Illinois",0,555,998,786,100469
"Census Tract 8048.06, Cook County, Illinois",71,227,438,296,81136
"Census Tract 8048.07, Cook County, Illinois",22,421,935,440,92381
"Census Tract 8048.08, Cook County, Illinois",3,216,409,246,126719
"Census Tract 8048.09, Cook County, Illinois",31,374,756,370,112734
"Census Tract 8048.10, Cook County, Illinois",143,1039,1134,392,83500
"Census Tract 8049.01, Cook County, Illinois",35,730,1041,440,130183
"Census Tract 8049.02, Cook County, Illinois",33,380,1322,435,109544
"Census Tract 8050.01, Cook County, Illinois",50,509,949,350,129720
"Census Tract 8050.02, Cook County, Illinois",267,1062,1367,223,64426
"Census Tract 8051.05, Cook County, Illinois",147,1050,856,369,72986
"Census Tract 8051.06, Cook County, Illinois",42,511,432,243,102853
"Census Tract 8051.07, Cook County, Illinois",132,1463,1051,153,84408
"Census Tract 8051.08, Cook County, Illinois",39,1150,1225,89,76696
"Census Tract 8051.09, Cook County, Illinois",58,567,725,358,95737
"Census Tract 8051.10, Cook County, Illinois",107,886,697,275,98750
"Census Tract 8051.11, Cook County, Illinois",298,835,1323,302,80668
"Census Tract 8051.12, Cook County, Illinois",260,251,375,231,88625
"Census Tract 8052.01, Cook County, Illinois",15,207,628,418,107107
"Census Tract 8052.02, Cook County, Illinois",109,718,595,277,118229
"Census Tract 8053.01, Cook County, Illinois",24,290,452,270,95972
"Census Tract 8053.02, Cook County, Illinois",68,467,452,370,94777
"Census Tract 8054.01, Cook County, Illinois",65,463,600,351,116000
"Census Tract 8054.02, Cook County, Illinois",85,276,798,465,105742
"Census Tract 8055.01, Cook County, Illinois",101,501,663,228,148056
"Census Tract 8055.02, Cook County, Illinois",87,651,648,288,178281
"Census Tract 8056, Cook County, Illinois",45,430,806,261,160870
"Census Tract 8057.01, Cook County, Illinois",60,593,885,325,165139
"Census Tract 8057.02, Cook County, Illinois",21,177,369,156,152292
"Census Tract 8058.01, Cook County, Illinois",21,263,528,133,133281
"Census Tract 8058.02, Cook County, Illinois",42,660,786,353,129375
"Census Tract 8059.01, Cook County, Illinois",322,789,679,153,100022
"Census Tract 8059.02, Cook County, Illinois",97,705,717,531,126000
"Census Tract 8060.01, Cook County, Illinois",237,1150,1052,143,69444
"Census Tract 8060.02, Cook County, Illinois",218,1056,782,329,59808
"Census Tract 8060.04, Cook County, Illinois",462,1162,934,530,75283
"Census Tract 8060.05, Cook County, Illinois",16,556,333,356,89703
"Census Tract 8060.06, Cook County, Illinois",233,581,512,451,93431
"Census Tract 8061.02, Cook County, Illinois",25,470,565,287,115817
"Census Tract 8061.03, Cook County, Illinois",31,616,820,465,99387
"Census Tract 8061.04, Cook County, Illinois",276,838,625,92,62163
"Census Tract 8062.01, Cook County, Illinois",135,1229,668,123,63722
"Census Tract 8062.02, Cook County, Illinois",274,1245,619,350,74766
"Census Tract 8063, Cook County, Illinois",43,559,739,350,102321
"Census Tract 8064, Cook County, Illinois",23,209,355,207,117125
"Census Tract 8065.01, Cook County, Illinois",16,190,291,212,52976
"Census Tract 8065.02, Cook County, Illinois",59,438,685,226,77179
"Census Tract 8066, Cook County, Illinois",63,266,372,452,99875
"Census Tract 8067, Cook County, Illinois",25,580,761,174,143571
"Census Tract 8068.01, Cook County, Illinois",159,722,539,162,73712
"Census Tract 8068.02, Cook County, Illinois",142,335,474,90,76250
"Census Tract 8069, Cook County, Illinois",162,964,695,285,85486
"Census Tract 8070, Cook County, Illinois",211,884,573,260,72054
"Census Tract 8071, Cook County, Illinois",32,335,550,212,125294
"Census Tract 8072, Cook County, Illinois",146,505,830,326,102639
"Census Tract 8073, Cook County, Illinois",187,1055,1205,357,67190
"Census Tract 8074, Cook County, Illinois",214,712,966,305,94844
"Census Tract 8075, Cook County, Illinois",56,265,521,197,119250
"Census Tract 8076, Cook County, Illinois",66,631,609,680,90236
"Census Tract 8077, Cook County, Illinois",318,842,654,334,87325
"Census Tract 8078, Cook County, Illinois",31,155,457,150,138542
"Census Tract 8079, Cook County, Illinois",16,229,748,332,136458
"Census Tract 8080.01, Cook County, Illinois",103,441,579,203,106250
