NAME,novehicle,onevehicle,twovehicle,threevehicle,medianincome
"Census Tract 2002, Cook County, Illinois",193,555,539,303,62011
"Census Tract 2003, Cook County, Illinois",67,333,129,114,94087
"Census Tract 2004.01, Cook County, Illinois",120,308,389,132,57941
"Census Tract 2004.02, Cook County, Illinois",72,469,292,398,55583
"Census Tract 201, Cook County, Illinois",185,834,362,95,51500
"Census Tract 202, Cook County, Illinois",85,964,770,204,101648
"Census Tract 203.01, Cook County, Illinois",352,898,802,81,71536
"Census Tract 203.02, Cook County, Illinois",217,603,549,234,119063
"Census Tract 204, Cook County, Illinois",180,825,513,132,88594
"Census Tract 205, Cook County, Illinois",320,1112,579,92,46812
"Census Tract 206.01, Cook County, Illinois",307,821,750,120,58333
"Census Tract 206.02, Cook County, Illinois",304,542,551,235,62942
"Census Tract 207.01, Cook County, Illinois",24,262,355,89,116364
"Census Tract 207.02, Cook County, Illinois",347,1219,565,251,62565
"Census Tract 208.01, Cook County, Illinois",199,1185,615,196,67200
"Census Tract 208.02, Cook County, Illinois",287,1054,486,339,52546
"Census Tract 209.01, Cook County, Illinois",395,1135,530,127,43241
"Census Tract 209.02, Cook County, Illinois",320,929,228,114,43255
"Census Tract 2101, Cook County, Illinois",207,757,571,130,95244
"Census Tract 2104, Cook County, Illinois",160,345,237,58,44643
"Census Tract 2105.01, Cook County, Illinois",351,678,270,57,53750
"Census Tract 2105.02, Cook County, Illinois",240,760,428,59,65528
"Census Tract 2106.01, Cook County, Illinois",204,535,329,67,83571
"Census Tract 2106.02, Cook County, Illinois",269,607,438,143,81856
"Census Tract 2107, Cook County, Illinois",211,714,391,88,79125
"Census Tract 2108, Cook County, Illinois",56,262,69,34,64671
"Census Tract 2109, Cook County, Illinois",91,679,491,75,90750
"Census Tract 2203, Cook County, Illinois",67,524,264,43,121908
"Census Tract 2204, Cook County, Illinois",186,512,357,60,125625
"Census Tract 2205, Cook County, Illinois",273,721,200,14,101304
"Census Tract 2206.01, Cook County, Illinois",163,284,211,54,100417
"Census Tract 2206.02, Cook County, Illinois",1131,1199,250,72,87024
"Census Tract 2207.01, Cook County, Illinois",218,542,250,97,67689
"Census Tract 2207.02, Cook County, Illinois",196,925,258,194,66402
"Census Tract 2209.01, Cook County, Illinois",203,559,75,165,46326
"Census Tract 2209.02, Cook County, Illinois",108,434,324,105,63365
"Census Tract 2210, Cook County, Illinois",265,453,227,124,87843
"Census Tract 2211, Cook County, Illinois",596,1059,276,64,87875
"Census Tract 2212, Cook County, Illinois",321,527,344,61,119464
"Census Tract 2213, Cook County, Illinois",522,594,261,69,95781
"Census Tract 2214, Cook County, Illinois",519,657,273,23,153500
"Census Tract 2215, Cook County, Illinois",404,660,224,69,91058
"Census Tract 2216, Cook County, Illinois",179,712,443,61,178849
"Census Tract 2222, Cook County, Illinois",166,582,205,44,"250,000+"
"Census Tract 2225, Cook County, Illinois",57,235,170,97,98750
"Census Tract 2226, Cook County, Illinois",173,402,166,12,100385
"Census Tract 2227, Cook County, Illinois",94,480,207,31,71250
"Census Tract 2228, Cook County, Illinois",81,244,59,22,86500
"Census Tract 2229, Cook County, Illinois",84,152,74,31,-
"Census Tract 2301, Cook County, Illinois",104,294,194,52,66538
"Census Tract 2302, Cook County, Illinois",145,293,182,55,66538
"Census Tract 2303, Cook County, Illinois",30,111,65,64,46364
"Census Tract 2304, Cook County, Illinois",75,384,182,91,56250
"Census Tract 2305, Cook County, Illinois",354,486,298,43,40500
"Census Tract 2306, Cook County, Illinois",503,641,550,232,44320
"Census Tract 2307, Cook County, Illinois",199,813,492,377,44483
"Census Tract 2308, Cook County, Illinois",25,142,59,78,56447
"Census Tract 2309, Cook County, Illinois",360,875,426,135,53939
"Census Tract 2311, Cook County, Illinois",116,178,37,54,75139
