NAMELSAD10,Median income (dollars),Average vehicle,number of bus stops,area(m2),density(/hectare),Nearest distance (km),percent_households_with_car
Census Tract 4202,70000,0.729984301,12,278187.9404,0.431363056,78.8639761,52
Census Tract 4203,47000,0.703012912,10,245119.4028,0.40796444,111.2825393,56
Census Tract 4204,30638,0.608895706,13,245126.7826,0.530337806,111.010252,48
Census Tract 4205,35703,0.712172924,10,245979.1577,0.406538509,94.80252309,61
Census Tract 4206,32500,0.732484076,11,243605.5218,0.451549699,94.65421035,62
Census Tract 4207,29271,0.839819005,14,650528.028,0.21520979,396.9582426,65
Census Tract 4208,54958,0.909799555,10,347600.9792,0.287686186,207.1673218,69
Census Tract 4212,43578,0.751708428,16,328220.4385,0.48747726,180.6336154,55
Census Tract 4301.01,35087,0.693705386,9,329505.059,0.273136929,198.865241,55
Census Tract 4301.02,49500,0.816593886,10,999262.3896,0.100073815,384.3650886,66
Census Tract 4302,34957,0.640994295,18,666843.9947,0.269928201,388.8928223,40
Census Tract 4303,25781,0.726553672,11,408970.5812,0.268968002,251.3981953,56
Census Tract 4304,47628,0.834832379,10,545171.2147,0.183428613,381.8890769,65
Census Tract 4305,20866,0.551845343,7,337332.5393,0.20751037,196.4806745,46
Census Tract 4306,75144,0.955223881,7,328335.4972,0.213196564,191.6918849,59
Census Tract 4307,41066,0.687543983,11,367775.3891,0.299095598,159.0014277,56
Census Tract 4308,69375,1.077348066,6,328072.0895,0.182886634,195.8238143,77
Census Tract 4309,62222,0.954712362,8,336514.1104,0.237731487,194.6618191,66
Census Tract 4312,63625,1.04048583,13,655296.4799,0.198383486,395.6063719,77
Census Tract 4313.01,38633,0.735273735,5,404076.1297,0.123739059,207.5744502,53
Census Tract 4313.02,35270,0.677842566,8,437420.9952,0.18289017,64.37675253,47
Census Tract 4314,33457,0.622222222,20,2204824.277,0.090710177,596.9623933,53
Census Tract 4401.01,25139,0.513342379,6,382675.433,0.156790833,301.4469058,42
Census Tract 4401.02,57772,0.929656725,8,627504.3615,0.127489154,311.4790498,70
Census Tract 4402.02,53871,0.915254237,15,781698.6175,0.191889811,478.293837,69
Census Tract 4403,89821,1.338797814,24,1291889.622,0.185774385,394.6577009,82
Census Tract 4406,68385,1.531428571,15,669815.3445,0.223942317,409.44596,95
Census Tract 4407,80208,1.133768352,7,327461.1048,0.213765846,198.416945,83
Census Tract 4408,31538,0.862222222,9,279073.6564,0.322495506,123.5317701,67
Census Tract 4409,69662,1.086278586,9,742630.1245,0.121190882,356.1717888,76
Census Tract 4503,61662,1.126101695,34,1366765.408,0.248762515,267.4126246,82
Census Tract 4601,41971,0.911021234,17,5484654.495,0.030995571,992.3653176,54
Census Tract 4602,31989,0.881081081,6,600207.7136,0.099965393,391.2172716,58
Census Tract 4603.01,40240,1.163478261,8,485921.1929,0.16463575,294.3164386,72
Census Tract 4603.02,44239,1.054878049,5,648525.9136,0.077097922,532.0587666,73
Census Tract 4604,55313,1.218776194,3,652528.3515,0.045975014,723.1792484,77
Census Tract 4605,94426,1.045199851,28,1277221.865,0.219225812,274.9714142,71
Census Tract 4606,94426,1.045199851,6,260610.5938,0.230228553,196.258975,
Census Tract 4607,94426,1.045199851,12,422528.7974,0.284004311,199.8124391,
Census Tract 4610,53194,0.456521739,22,616836.8952,0.356658303,136.3958402,33
Census Tract 4701,74148,1.202620968,19,1589069.575,0.119566823,268.2703147,70
Census Tract 4801,83083,1.34434968,16,668183.3889,0.239455219,7.302224402,82
Census Tract 4802,60724,0.942379182,6,286026.1604,0.209771022,199.4155829,70
Census Tract 4803,57700,1.013207547,5,415733.5605,0.120269338,201.8620778,68
Census Tract 4804,142974,1.428824834,31,1809902.353,0.171279959,50.34377178,91
Census Tract 4805,82500,1.119665272,21,1355403.154,0.154935452,152.9908378,72
Census Tract 4903,68750,1.199709513,11,632632.2604,0.173876685,385.7796577,
Census Tract 4904,68750,1.199709513,7,237760.9262,0.294413389,187.4485422,
Census Tract 4905,66728,1.265077139,28,1425938.075,0.196361963,68.45913555,86
Census Tract 4906,43821,1.628272251,8,679060.6995,0.117809792,401.3764915,89
Census Tract 4907,57598,1.30552546,4,640220.7621,0.062478449,397.1568943,85
Census Tract 4908,47378,1.351822504,25,1079252.687,0.231641767,117.7495234,82
Census Tract 4909.01,42708,0.889248181,16,845441.021,0.189250339,226.4633187,59
Census Tract 4909.02,75590,1.292654714,28,1196068.339,0.234100336,135.4164478,78
Census Tract 4910,46107,0.849904398,8,1277070.459,0.062643372,586.7867927,53
Census Tract 4911,67659,1.341886792,14,1322862.515,0.105831104,399.1847585,83
Census Tract 4912,51875,1.519287834,13,649494.6475,0.200155614,397.5403054,88
Census Tract 4913,37692,1.14374034,8,646029.6796,0.12383332,398.520657,69
Census Tract 4914,36250,0.81088314,27,829877.2833,0.325349308,303.3617176,60
Census Tract 5001,67452,1.35,22,2653039.573,0.082923754,704.8504966,92
Census Tract 5002,34409,0.991094148,22,2044082.155,0.107627768,515.4037081,69
Census Tract 5003,49116,1.189437428,3,709169.1579,0.042303024,389.9580137,80
Census Tract 501,49116,1.189437428,9,334635.5738,0.26894929,200.3175911,80
Census Tract 502,49116,1.189437428,15,652248.2317,0.229973793,392.5698013,85
Census Tract 503,49116,1.189437428,6,394730.5961,0.152002405,233.5728034,93
Census Tract 505,49116,1.189437428,15,652577.8207,0.229857643,394.4985294,86
Census Tract 506,49116,1.189437428,7,332452.8472,0.210556175,199.2031761,84
Census Tract 507,49116,1.189437428,4,164327.628,0.243416159,196.1712421,90
Census Tract 508,49116,1.189437428,4,162817.9415,0.245673171,195.1990545,80
Census Tract 509,49116,1.189437428,3,162720.8326,0.184364838,196.533636,82
Census Tract 510,49116,1.189437428,3,166635.9241,0.180033208,196.0026252,90
Census Tract 5101,42143,1.371186441,21,2373066.368,0.0884931,85.44338234,77
Census Tract 5102,51875,1.225498008,30,1279952.286,0.234383737,67.88955404,73
Census Tract 5103,27003,1.207995678,49,2957010.315,0.16570791,85.23329911,83
Census Tract 511,27003,1.207995678,5,162699.1469,0.307315686,196.5584605,89
Census Tract 512,27003,1.207995678,4,164666.4504,0.242915299,196.156436,88
Census Tract 513,27003,1.207995678,9,321995.2212,0.279507254,193.0569482,97
Census Tract 514,27003,1.207995678,7,358884.7053,0.195048713,226.4695996,84
Census Tract 5201,55536,1.712550607,12,3099839.635,0.03871168,398.959722,87
Census Tract 5202,44784,1.184362934,8,1210350.233,0.066096571,392.8855807,76
Census Tract 5203,46250,1.53275582,14,956737.9161,0.146330565,182.1374102,86
Census Tract 5204,44402,1.541237113,15,719869.3709,0.208371138,42.22365496,92
Census Tract 5205,67361,1.808293678,13,1050379.77,0.12376476,320.788438,97
Census Tract 5206,79554,1.752258065,12,1090994.385,0.1099914,60.02860576,98
Census Tract 5301,37230,1.195838433,16,649936.5227,0.246177887,221.537138,64
Census Tract 5302,52042,1.139570552,20,1297345.755,0.154160908,398.4651848,75
Census Tract 5303,49955,1.285908781,19,1308194.911,0.145238296,397.6629134,91
Census Tract 5304,77041,1.265223275,12,1312060.872,0.091459171,406.8820894,73
Census Tract 5305.01,51189,1.333523051,12,1296491.832,0.092557467,398.7403152,75
Census Tract 5305.02,64397,1.527777778,0,807964.8107,0,550.2997616,88
Census Tract 5305.03,58775,1.457161543,8,1637979.424,0.048840662,57.1259828,86
Census Tract 5306,48438,1.043577982,17,1034198.881,0.164378441,107.5871558,74
Census Tract 5401.01,20850,0.709821429,12,3866268.072,0.031037682,398.5728183,57
Census Tract 5401.02,29831,0.634146341,11,5296525.912,0.02076833,1016.79072,51
Census Tract 5501,67409,1.595582329,42,8323801.151,0.050457717,333.0493123,89
Census Tract 5502,74643,1.487708948,6,5401451.254,0.011108126,1044.920552,87
Census Tract 5601,75208,1.604294479,7,736736.2595,0.095013649,166.2194585,92
Census Tract 5602,71719,1.343470483,4,668997.9899,0.059790912,367.9272949,83
Census Tract 5603,69821,1.631835938,5,659004.3856,0.075872029,395.5620048,84
Census Tract 5604,67639,1.545454545,6,334561.0268,0.179339478,193.7198164,88
Census Tract 5607,78237,1.641252006,12,661244.2066,0.18147607,14.78038397,85
Census Tract 5608,96029,1.706905371,23,1321149.99,0.174090756,218.6916658,95
Census Tract 5609,117630,1.86949429,8,1319255.024,0.060640285,389.5719175,96
Census Tract 5610,126982,1.727396022,17,1328260.135,0.127986977,396.3439062,95
Census Tract 5611,99762,1.670345489,17,1321991.675,0.128593851,193.6206223,95
Census Tract 5701,63654,1.603773585,13,1523743.595,0.085316191,407.4766825,89
Census Tract 5702,76066,1.369536424,14,1763042.524,0.079408181,728.0111071,71
Census Tract 5703,60625,1.370793269,13,980174.1388,0.132629494,386.0104742,77
Census Tract 5704,75156,1.254545455,15,463390.8291,0.323700839,43.52182804,84
Census Tract 5705,45607,1.541271989,11,423601.336,0.259678123,177.2565582,88
Census Tract 5801,51736,1.361751152,16,763543.352,0.209549333,237.1025757,87
Census Tract 5802,41969,1.687804878,23,729821.6501,0.315145488,62.63931464,96
Census Tract 5803,66094,1.729844413,9,471020.5644,0.19107446,102.7970635,92
Census Tract 5804,57500,1.458594294,22,1316119.689,0.167158049,352.0415647,88
Census Tract 5805.01,41952,1.448016416,12,492118.1237,0.243843895,294.6535729,87
Census Tract 5805.02,41861,1.214184397,10,494418.2603,0.202257902,261.5219722,74
Census Tract 5806,56157,1.447831978,11,492786.4736,0.223220413,192.485802,81
Census Tract 5807,46859,1.4015844,7,549608.6662,0.127363348,255.3929363,83
Census Tract 5808,56438,1.548828125,5,183274.8387,0.272814317,197.746696,95
Census Tract 5905,79342,1.281805746,19,596380.5492,0.318588526,190.7137123,84
Census Tract 5906,57045,1.396643783,3,348145.384,0.086170897,392.6639138,85
Census Tract 5907,88958,1.475266731,13,869699.6477,0.149476892,127.8525997,85
Census Tract 6004,76667,1.22106632,13,327224.8881,0.397280295,193.3910276,75
Census Tract 6006,46111,1.046328671,7,394134.1628,0.177604498,72.40431265,77
Census Tract 6007,39559,0.964133219,9,465210.0061,0.193461015,96.14004954,63
Census Tract 6009,71607,1.258365759,8,383219.2756,0.208757766,159.5325412,81
Census Tract 601,71607,1.258365759,7,325545.8145,0.215023499,212.9984842,82
Census Tract 602,71607,1.258365759,3,318277.8332,0.094257271,397.2517568,72
Census Tract 603,71607,1.258365759,6,319705.3981,0.187672777,185.6699295,80
Census Tract 604,71607,1.258365759,7,325030.7826,0.215364217,194.7669893,82
Census Tract 605,71607,1.258365759,6,228281.9959,0.262832817,25.53817941,52
Census Tract 608,71607,1.258365759,11,247373.7301,0.444671307,134.0070707,62
Census Tract 609,71607,1.258365759,21,903499.7678,0.232429501,324.1225544,57
Census Tract 610,71607,1.258365759,2,172814.618,0.11573095,208.3143902,64
Census Tract 6103,32167,1.125956145,14,2383588.654,0.058734967,762.5283675,70
Census Tract 6104,43656,1.18079096,4,163181.265,0.245126179,191.3501016,80
Census Tract 6108,78333,1.411231884,2,331962.9574,0.060247686,403.8622527,82
Census Tract 611,78333,1.411231884,5,173035.5071,0.288958034,109.830081,70
Census Tract 6110,78333,1.411231884,12,571301.0773,0.210046865,358.4376008,
Census Tract 6111,78333,1.411231884,8,326781.4381,0.244811947,199.5720882,
Census Tract 6112,30000,1.161290323,8,327039.6989,0.24461862,192.0001946,79
Census Tract 6113,41596,0.885742188,8,327030.6249,0.244625408,192.1169363,57
Census Tract 6114,41809,1.146520147,6,326298.1179,0.183880926,194.6910266,73
Census Tract 6115,35820,0.959247649,14,488121.2805,0.286813965,351.7946105,74
Census Tract 6116,39076,1.143712575,11,315135.7387,0.349055935,188.5993421,77
Census Tract 6117,23646,1.220551378,9,328312.147,0.274129364,191.220205,89
Census Tract 6118,71125,1.083453237,5,327806.3819,0.152529062,192.6238504,71
Census Tract 6119,45417,0.638888889,16,653546.4341,0.244818106,397.3721349,40
Census Tract 612,45417,0.638888889,3,174670.3774,0.171752076,210.2778926,74
Census Tract 6120,57417,0.93081761,9,325923.2855,0.276138601,192.3894572,62
Census Tract 6121,38826,0.847887324,9,326345.4113,0.275781417,194.324919,59
Census Tract 615,32500,1.06856634,1,162911.0361,0.061383196,197.4275853,84
Census Tract 618,32500,1.06856634,6,82841.72295,0.72427272,58.35889003,48
Census Tract 619.01,32500,1.06856634,5,160610.1152,0.311312895,94.60697506,36
Census Tract 619.02,32500,1.06856634,10,861874.8585,0.116026125,424.8140394,57
Census Tract 620,32500,1.06856634,7,224976.5251,0.311143574,203.7764664,57
Census Tract 6201,65217,2.060711188,6,837580.2318,0.071634928,522.743566,98
Census Tract 6202,73542,1.403314917,11,577054.5614,0.190623222,274.8966732,86
Census Tract 6203,61250,1.473411154,16,992182.6435,0.161260632,395.8476659,79
Census Tract 6204,70078,1.653179191,12,656282.7772,0.18284801,395.2325125,90
Census Tract 621,70078,1.653179191,9,244805.8846,0.367638221,99.80023639,59
Census Tract 622,70078,1.653179191,1,242322.6728,0.04126729,294.5698325,86
Census Tract 623,70078,1.653179191,3,163309.9508,0.183699768,195.4756211,83
Census Tract 624,70078,1.653179191,2,162937.4316,0.122746503,193.3290304,83
Census Tract 625,70078,1.653179191,3,161002.0413,0.186333041,196.0695094,81
Census Tract 626,70078,1.653179191,4,330019.0469,0.121205126,195.2848864,95
Census Tract 627,70078,1.653179191,8,325098.3566,0.246079374,194.5444217,81
Census Tract 628,70078,1.653179191,4,325610.5385,0.122846147,388.9298422,86
Census Tract 629,70078,1.653179191,2,325736.904,0.061399245,396.2496603,73
Census Tract 630,70078,1.653179191,11,324350.0545,0.339139761,189.189165,61
Census Tract 6301,70078,1.653179191,7,508069.5033,0.137776425,201.5733598,
Census Tract 6302,70078,1.653179191,11,634189.8572,0.173449636,188.2968784,
Census Tract 6303,56667,1.505169867,11,985489.1457,0.111619697,403.2083992,79
Census Tract 6304,35494,1.446573751,17,658248.316,0.2582612,397.2468247,83
Census Tract 6305,43547,1.448275862,15,657742.5057,0.228052769,398.0295454,85
Census Tract 6308,56111,1.673384707,15,655812.6714,0.228723851,397.4373057,86
Census Tract 6309,49083,1.154014599,11,659757.9198,0.16672782,396.6847262,70
Census Tract 631,49083,1.154014599,10,159625.2326,0.626467372,191.5885703,49
Census Tract 632,49083,1.154014599,14,764257.21,0.183184402,271.8931775,51
Census Tract 633.01,49083,1.154014599,3,93852.98936,0.319648849,104.3090038,35
Census Tract 633.02,49083,1.154014599,8,121199.4081,0.66006923,57.6174567,46
Census Tract 633.03,49083,1.154014599,2,236592.4054,0.084533567,176.5675905,53
Census Tract 634,49083,1.154014599,8,158835.7408,0.503664979,23.0282077,66
Census Tract 6401,54792,1.296943231,6,325922.2314,0.184092996,183.775717,78
Census Tract 6403,66542,1.543591979,21,1324650.601,0.158532371,12.55996441,87
Census Tract 6404,94167,1.754039497,15,1334945.744,0.112364117,398.5174514,93
Census Tract 6405,82333,1.61986755,17,661915.1351,0.256830507,194.4566136,96
Census Tract 6406,56806,1.369177688,21,659754.9287,0.318300009,11.30216431,88
Census Tract 6407,63640,1.735810114,20,657152.1643,0.304343516,195.5100773,94
Census Tract 6408,61667,1.663157895,9,326704.5183,0.275478284,187.7641648,87
Census Tract 6501,50250,1.30355846,11,673591.0564,0.163303831,398.4838932,75
Census Tract 6502,81643,1.519277696,15,990903.6043,0.151376985,392.4575958,86
Census Tract 6503.01,67606,1.623071764,9,985552.9106,0.091319298,399.4470859,88
Census Tract 6503.02,49811,1.829136691,8,661844.1649,0.120874375,398.1067273,99
Census Tract 6504,58143,1.878976918,13,1098629.939,0.118329198,124.4092752,96
Census Tract 6505,79712,1.66515544,23,3241742.955,0.070949487,420.6857832,84
Census Tract 6603.01,26359,0.731448763,6,163781.6327,0.366341445,92.71805467,50
Census Tract 6603.02,37397,1.189208129,11,491838.7279,0.223650546,298.1824195,78
Census Tract 6604,47330,1.533967391,13,645647.4538,0.201348273,391.6641736,86
Census Tract 6605,45855,1.449209932,11,659357.438,0.166829088,397.345625,82
Census Tract 6606,36632,0.989936441,13,658609.4732,0.19738556,9.930447242,65
Census Tract 6607,26786,0.818032787,8,480682.1586,0.166430142,190.4986468,58
Census Tract 6608,43289,1.17037037,8,655388.2872,0.122065044,12.97489563,77
Census Tract 6609,43598,1.167560322,26,1972992.524,0.131779516,397.7904325,74
Census Tract 6610,43601,1.16951567,12,1118645.027,0.107272635,181.3587479,73
Census Tract 6611,55100,1.769356598,11,1299748.412,0.084631763,10.24411172,92
Census Tract 6702,34632,0.765957447,6,326542.5702,0.183743271,190.4620312,61
Census Tract 6703,34464,0.896226415,7,326330.1737,0.214506673,190.124043,61
Census Tract 6704,36742,0.771836007,7,326420.3609,0.214447407,194.6588146,53
Census Tract 6705,59028,1.056022409,14,622493.0524,0.224902108,20.5042028,75
Census Tract 6706,32344,0.792682927,7,327033.7602,0.21404518,190.7958796,58
Census Tract 6707,41000,1.412140575,6,326728.1969,0.18363888,192.9798478,81
Census Tract 6708,28000,0.600849257,4,326299.3403,0.122586825,192.3089143,46
Census Tract 6709,32827,0.840490798,9,326288.9618,0.275829129,194.6783886,72
Census Tract 6711,35536,0.852140078,6,245620.2427,0.24427954,222.6354114,71
Census Tract 6712,54500,0.660066007,6,244920.2525,0.244977699,211.6973617,54
Census Tract 6713,33819,0.87874465,8,484660.2313,0.16506409,194.1688169,64
Census Tract 6714,23977,1.170250896,10,495625.0667,0.201765421,199.9434111,78
Census Tract 6715,52587,1.275946276,16,741164.3573,0.215876544,70.0834586,72
Census Tract 6716,38250,0.674140508,9,407250.9335,0.220993969,95.04803671,46
Census Tract 6718,43250,0.944444444,3,324236.4408,0.092525072,195.4023554,75
Census Tract 6719,50865,1.260869565,8,322061.3424,0.248399884,212.6978812,82
Census Tract 6720,55014,1.273529412,20,995026.956,0.20099958,200.3086515,78
Census Tract 6805,38500,1.093275488,8,326859.4412,0.244753524,195.7666591,71
Census Tract 6806,45341,1.01594533,8,326464.737,0.245049437,195.5501292,73
Census Tract 6809,23008,0.41084855,15,1033027.627,0.145204248,374.2879643,33
Census Tract 6810,32589,0.803846154,11,651694.6105,0.168790716,396.9975101,50
Census Tract 6811,18750,0.737327189,17,652441.1217,0.26055991,9.637050781,62
Census Tract 6812,23852,0.721728081,17,794728.7304,0.213909468,100.5151976,50
Census Tract 6813,22813,0.710526316,17,721327.0566,0.235676727,159.059157,51
Census Tract 6814,41864,1.080246914,13,643435.6328,0.202040411,204.9241913,74
Census Tract 6903,31923,0.666216216,21,512068.2822,0.410101557,65.32287975,56
Census Tract 6904,27750,0.810511757,24,651657.5494,0.368291598,10.51479578,65
Census Tract 6905,36935,0.893416928,17,320685.3728,0.530114606,180.0151573,55
Census Tract 6909,59758,1.011422045,14,655459.185,0.213590721,398.7882772,66
Census Tract 6910,70000,0.977127173,18,648683.4802,0.277485099,398.3164347,74
Census Tract 6911,25278,0.717566016,21,675737.3436,0.310771636,30.47433634,48
Census Tract 6912,28854,0.650625602,24,1013722.157,0.236751262,76.68972953,54
Census Tract 6913,49191,0.915673694,17,647445.8416,0.262570225,398.0197018,67
Census Tract 6914,36615,0.965023847,17,656678.8023,0.258878464,396.5685602,64
Census Tract 6915,19554,0.71624714,10,671196.4686,0.148987673,390.7104543,57
Census Tract 7001,76480,1.891472868,27,2311838.122,0.116790184,403.1892632,92
Census Tract 7002,83892,1.999453552,21,1623944.733,0.129314746,138.4311277,96
Census Tract 7003.01,67272,1.842770753,9,1275710.792,0.070548905,402.0095748,95
Census Tract 7003.02,89970,1.720850086,12,1319647.278,0.09093339,396.9919091,94
Census Tract 7004.01,90119,1.761122881,19,1482527.406,0.12815952,447.7785653,93
Census Tract 7004.02,66591,1.523275862,15,1148946.327,0.130554401,341.8023862,90
Census Tract 7005.01,77157,1.632884777,14,1670354.81,0.083814528,405.9257824,92
Census Tract 7005.02,102895,1.983501375,14,1722969.259,0.081255077,376.2964282,95
Census Tract 701.01,102895,1.983501375,10,1197874.291,0.083481214,415.0363348,61
Census Tract 701.02,102895,1.983501375,4,124701.5541,0.32076585,141.6174889,52
Census Tract 701.03,102895,1.983501375,2,69092.46243,0.289467176,93.78399598,42
Census Tract 702,102895,1.983501375,9,341404.9568,0.263616559,210.3643316,66
Census Tract 703,102895,1.983501375,8,324400.8852,0.246608452,194.3457335,78
Census Tract 704,102895,1.983501375,4,324369.6136,0.123316113,395.6208528,68
Census Tract 705,102895,1.983501375,3,305416.1568,0.098226631,392.0398038,72
Census Tract 706,102895,1.983501375,5,343157.0399,0.145705884,203.9745352,90
Census Tract 707,102895,1.983501375,12,686127.5147,0.174894604,334.4105529,83
Census Tract 710,102895,1.983501375,2,324639.9884,0.061606705,396.9767582,82
Census Tract 7101,33929,0.7960199,5,215114.2268,0.23243465,203.2451715,60
Census Tract 7102,43108,0.870359099,13,741530.088,0.175313183,226.9632108,61
Census Tract 7103,42738,1.26719057,4,327581.0783,0.122107175,196.6301524,74
Census Tract 7104,53235,1.135288553,15,1002523.274,0.149622461,186.4567655,79
Census Tract 7105,41386,0.922673657,18,748394.3028,0.240514926,206.4683609,69
Census Tract 7106,48676,0.659952607,4,244932.5706,0.163310253,205.9673545,55
Census Tract 7107,50321,0.913598798,12,490083.2145,0.244856376,263.9036576,68
Census Tract 7108,22269,0.657338965,18,816277.6055,0.220513216,297.0396286,47
Census Tract 7109,35516,1.066126856,14,990852.1167,0.141292528,342.492849,70
Census Tract 711,35516,1.066126856,9,325459.1344,0.276532414,86.97965241,72
Census Tract 7110,40000,1.144366197,12,654359.3879,0.183385464,394.0744605,76
Census Tract 7111,62583,1.456037515,10,653931.1156,0.152921306,393.9848296,87
Census Tract 7112,75714,1.380127094,17,1102236.028,0.154231939,250.7692031,79
Census Tract 7113,56250,1.054945055,6,350016.7997,0.171420343,244.6143006,70
Census Tract 7114,43417,1.295857988,15,747486.4856,0.200672524,254.7405055,82
Census Tract 7115,46840,1.295508274,9,649393.1272,0.138590934,395.8165841,85
Census Tract 712,46840,1.295508274,13,325201.7719,0.399751819,5.920189715,59
Census Tract 713,46840,1.295508274,7,309581.6797,0.226111571,174.436964,75
Census Tract 714,46840,1.295508274,16,1323872.524,0.120857558,560.674122,65
Census Tract 715,46840,1.295508274,25,1618624.062,0.154452171,134.0910771,56
Census Tract 716,46840,1.295508274,4,162133.7928,0.246709827,189.9266565,79
Census Tract 717,46840,1.295508274,2,159949.2284,0.125039678,187.2502187,85
Census Tract 718,46840,1.295508274,7,323368.0482,0.216471604,215.4958514,86
Census Tract 7201,165833,1.84141791,17,1972034.409,0.086205392,714.1900287,99
Census Tract 7202,104010,1.659333752,13,1668934.027,0.077894032,548.660839,97
Census Tract 7203,151125,1.690897184,9,1261675.09,0.071333738,776.1717896,94
Census Tract 7204,106875,1.808282209,5,663283.8523,0.075382508,393.0700099,99
Census Tract 7205,159148,1.836619718,9,1042170.451,0.086358234,384.8616799,97
Census Tract 7206,141830,1.854812398,4,582371.4303,0.068684688,403.4124506,98
Census Tract 7207,113750,1.511020408,11,1049859.807,0.104775894,394.5748162,93
Census Tract 7301,60298,1.287117904,7,660212.7012,0.106026436,395.8095059,82
Census Tract 7302.01,63750,1.079805353,9,999818.8413,0.090016307,449.4862966,72
Census Tract 7302.02,86821,1.544723618,9,876170.0655,0.102719784,548.6764004,93
Census Tract 7303,51563,1.284530387,5,297684.7108,0.167962943,178.3026296,78
Census Tract 7304,101500,1.489942529,30,1278084.521,0.23472626,68.90652279,90
Census Tract 7305,65111,1.360344828,17,1313922.126,0.129383619,396.0575164,83
Census Tract 7306,52204,1.405668733,24,1007264.242,0.238269155,411.4581171,91
Census Tract 7307,54669,1.361185984,14,988110.4323,0.141684568,411.9540484,83
Census Tract 7401,113036,1.458684654,20,891332.5247,0.22438315,197.6930394,92
Census Tract 7402,135577,1.808699951,23,1966293.648,0.116971339,156.1237938,94
Census Tract 7403,142426,1.729417934,17,1320728.961,0.128716796,399.362112,97
Census Tract 7404,120592,1.634226353,23,2838802.707,0.081020072,346.8324265,96
Census Tract 7501,73654,1.419261405,21,1285532.586,0.163356419,394.8968262,85
Census Tract 7502,104653,1.430734292,8,1310962.388,0.061023871,407.8455535,91
Census Tract 7503,120074,1.64958159,4,661766.4354,0.060444286,399.5112095,92
Census Tract 7504,128696,1.596618357,3,995560.1496,0.03013379,673.6277859,98
Census Tract 7505,61650,1.296663191,32,2636337.421,0.121380517,322.2664117,86
Census Tract 7506,55694,1.177204659,19,1316349.223,0.144338597,396.8122867,76
Census Tract 7608.01,82167,1.087155963,12,1300579.862,0.092266537,390.813197,91
Census Tract 7608.02,85875,1.42605042,9,6213668.595,0.014484197,944.175066,90
Census Tract 7608.03,66422,1.523328691,9,760357.4749,0.118365378,194.1850883,91
Census Tract 7706.02,75387,1.706727629,0,5541130.981,0,6217.310194,91
Census Tract 7709.02,81923,1.601092896,16,1164794.565,0.137363278,29.44798006,92
Census Tract 801,124922,1.687727825,12,265777.8507,0.451504893,83.62461274,63
Census Tract 802.01,167250,2.171149144,7,135302.9213,0.51735764,41.36933092,67
Census Tract 802.02,167250,2.171149144,9,155329.1093,0.579414898,47.38592837,57
Census Tract 803,171425,1.915121951,13,361488.568,0.359624097,218.0336681,64
Census Tract 804,96875,2.006514658,7,327344.2428,0.21384216,216.1915995,66
Census Tract 810,173594,1.316006601,24,298824.3051,0.803147521,61.20611491,37
Census Tract 8104,143558,1.966930601,0,2319080.766,0,892.3690007,97
Census Tract 811,75365,1.502325581,6,102349.2952,0.586227779,79.18234945,36
Census Tract 812.01,177321,1.813120176,8,185123.1482,0.432144768,164.5212031,51
Census Tract 812.02,177321,1.813120176,9,735030.0054,0.122443981,297.5150246,72
Census Tract 813,158625,1.509331728,11,202658.9634,0.542783789,49.31162896,50
Census Tract 814.01,58125,1.777777778,13,279854.8683,0.464526491,52.61426475,46
Census Tract 814.02,58125,1.777777778,10,588263.5144,0.169991845,116.6524687,67
Census Tract 814.03,58125,1.777777778,16,1819090.99,0.087956018,43.36145246,46
Census Tract 815,54286,1.374748693,19,295436.3458,0.643116538,88.63458011,60
Census Tract 816,101076,1.205510052,14,132805.7662,1.054171095,65.75522271,44
Census Tract 817,79534,1.874721604,20,371563.7796,0.538265598,56.32055743,38
Census Tract 818,83197,1.410589875,21,746628.9136,0.281264221,93.56759035,68
Census Tract 819,115809,1.595480226,3,137749.9132,0.217785981,181.6072984,82
Census Tract 8214.02,76724,1.359341446,4,1786651.778,0.022388246,892.6065486,86
Census Tract 8233.04,63845,1.493966524,7,3557489.964,0.019676795,306.0324577,88
Census Tract 8305,42033,1.638379942,30,4113598.565,0.072928847,119.0861605,92
Census Tract 8306,60250,0.930501931,11,661391.7239,0.166315961,132.346566,66
Census Tract 8307,86450,0.833506764,23,868895.2113,0.264703956,349.2861583,62
Census Tract 8308,120333,0.833902939,7,336534.1918,0.208002639,200.7320921,69
Census Tract 8309,114844,1.451073986,21,1037684.695,0.202373612,202.2821429,95
Census Tract 8310,219688,1.288,10,281988.2256,0.354624736,40.73471767,94
Census Tract 8311,83780,1.239715782,30,1315153.738,0.228110214,395.5901038,77
Census Tract 8312,45039,1.470006592,11,574946.194,0.191322251,199.6424387,84
Census Tract 8313,54236,1.317073171,17,576172.9901,0.295050276,132.0608608,91
Census Tract 8314,34063,0.997061704,40,2104284.668,0.19008835,237.4742218,69
Census Tract 8315,59192,1.551776266,25,968250.1521,0.258197739,199.1609264,92
Census Tract 8316,71394,1.617222909,21,1488842.117,0.141049207,216.4540504,86
Census Tract 8317,90500,1.121896163,18,532281.0114,0.338167239,89.68468787,73
Census Tract 8318,65877,1.283682008,33,1903566.664,0.173358783,281.3313911,85
Census Tract 8319,205417,1.111338798,7,324324.2551,0.215833379,184.2074168,82
Census Tract 8320,195156,0.997750281,9,167584.9043,0.537041211,114.3874216,67
