NAMELSAD10,Median income (dollars),Average vehicle,number of bus stops,area(m2),density(/hectare),Nearest distance (km),percent_households_with_car
Census Tract 1708,71652,1.586675731,12,730333.2658,0.16430855,393.8732429,91
Census Tract 1709,76815,1.700156986,6,320577.0813,0.187162475,192.6969615,96
Census Tract 1710,105170,1.704220183,23,1393043.575,0.165106106,403.3731404,96
Census Tract 1711,94325,1.763636364,14,666147.607,0.210163631,400.985042,96
Census Tract 1801,76797,1.550114416,17,1062790.994,0.159956192,399.5340466,88
Census Tract 1901,79041,1.181034483,9,316149.5687,0.284675384,183.5506786,72
Census Tract 1902,70438,1.730553827,14,660109.1078,0.212086151,395.2483207,89
Census Tract 1903,86860,1.606486486,11,660302.6123,0.166590284,396.33056,83
Census Tract 1904.01,64574,1.714932127,18,655473.2912,0.274610732,399.475425,93
Census Tract 1904.02,71591,1.56285073,16,653980.1929,0.244655728,397.4192145,91
Census Tract 1906.01,58333,1.881433824,18,690031.1243,0.260857799,399.6302527,92
Census Tract 1906.02,67237,1.462442848,15,621353.18,0.241408598,396.8169196,88
Census Tract 1907.01,75729,1.493606138,6,277867.9559,0.2159299,165.0639797,88
Census Tract 1907.02,48455,1.373779637,5,383492.0891,0.130380786,225.8243285,88
Census Tract 1908,64387,1.530516432,12,661317.8594,0.181455859,394.5378994,81
Census Tract 1909,80375,1.467741935,6,314637.0045,0.190695942,192.2104773,81
Census Tract 1910,87404,1.73458445,11,434312.312,0.253273962,245.4056598,92
Census Tract 1911,53058,1.319047619,23,822427.5966,0.279659876,299.3519283,83
Census Tract 1912,53306,1.398320896,21,705575.0804,0.297629559,241.6857521,83
Census Tract 1913.01,85213,1.580606782,20,674993.2076,0.296299278,133.4178825,79
Census Tract 1913.02,56295,1.599841521,18,631189.9031,0.285175664,61.18524239,80
Census Tract 2001,85521,1.481570513,6,586780.2668,0.102252927,371.8076657,86
Census Tract 2002,62011,1.598742138,12,818683.8945,0.14657672,383.6928564,88
Census Tract 2003,94087,1.451010886,10,250668.5036,0.398933247,95.47956587,90
Census Tract 2004.01,57941,1.561643836,3,402814.2788,0.074476009,317.8678739,87
Census Tract 2004.02,55583,1.825345248,9,386204.2692,0.2330373,280.9977115,94
Census Tract 201,55583,1.825345248,7,411311.3712,0.170187369,250.5526352,87
Census Tract 202,55583,1.825345248,20,1241962.629,0.161035441,10.87211824,96
Census Tract 203.01,55583,1.825345248,15,825541.8581,0.181698842,331.6797681,83
Census Tract 203.02,55583,1.825345248,17,639919.3701,0.265658469,10.50877868,86
Census Tract 204,55583,1.825345248,12,555411.5283,0.216056012,27.41357002,89
Census Tract 205,55583,1.825345248,11,771659.1924,0.142549977,389.3586969,85
Census Tract 206.01,55583,1.825345248,12,591326.1234,0.202933703,171.9582782,85
Census Tract 206.02,55583,1.825345248,6,492025.0794,0.121945003,297.8916332,81
Census Tract 207.01,55583,1.825345248,22,591392.8729,0.37200313,126.8224055,97
Census Tract 207.02,55583,1.825345248,26,786874.4549,0.330421198,255.8832949,85
Census Tract 208.01,55583,1.825345248,14,655950.3244,0.213430796,345.6794204,91
Census Tract 208.02,55583,1.825345248,17,644014.9084,0.263969044,388.2232831,87
Census Tract 209.01,55583,1.825345248,10,486915.2112,0.205374566,299.12794,82
Census Tract 209.02,55583,1.825345248,5,503213.3813,0.099361428,399.2951991,80
Census Tract 2101,95244,1.374774775,16,854097.5977,0.187332221,275.2983391,88
Census Tract 2104,44643,1.24125,9,419634.6618,0.214472274,262.1877275,80
Census Tract 2105.01,53750,1.024336283,14,313077.451,0.447173693,73.86936428,74
Census Tract 2105.02,65528,1.205783457,7,345944.9782,0.202344316,208.5500479,84
Census Tract 2106.01,83571,1.228193833,8,273653.7144,0.292340267,32.89036357,82
Census Tract 2106.02,81856,1.312285518,14,380700.7515,0.367742904,14.74299013,82
Census Tract 2107,79125,1.253561254,6,497303.8185,0.120650592,408.207335,85
Census Tract 2108,64671,1.19239905,5,162931.2177,0.306877962,94.53967175,87
Census Tract 2109,90750,1.411676647,10,570569.4913,0.175263489,360.5064436,93
Census Tract 2203,121908,1.315144766,7,326092.3531,0.214663114,198.1788928,93
Census Tract 2204,125625,1.260986547,10,329547.5696,0.303446328,198.3432488,83
Census Tract 2205,101304,0.962748344,8,334923.8863,0.23886024,68.6514422,77
Census Tract 2206.01,100417,1.219101124,7,189119.5016,0.370136339,91.03834801,77
Census Tract 2206.02,87024,0.722096531,19,464796.4367,0.408781103,84.04215448,57
Census Tract 2207.01,67689,1.204155375,3,266384.4117,0.112619202,169.4159522,80
Census Tract 2207.02,66402,1.286077559,15,575194.7785,0.260781227,264.5813355,88
Census Tract 2209.01,46326,1.201596806,3,293285.8428,0.102289288,218.2373771,80
Census Tract 2209.02,63365,1.438722966,6,330305.138,0.181650217,189.6049718,89
Census Tract 2210,87843,1.196445276,3,220048.6334,0.136333498,265.3890943,75
Census Tract 2211,87875,0.903759398,13,440041.2912,0.295426822,130.8207744,70
Census Tract 2212,119464,1.115722267,5,330424.8823,0.151320323,399.5912754,74
Census Tract 2213,95781,0.914937759,9,330106.8315,0.272639011,208.7318561,64
Census Tract 2214,153500,0.864130435,14,355032.5433,0.394330048,80.31647415,65
Census Tract 2215,91058,0.969049374,9,304901.7487,0.295177054,190.0048433,70
Census Tract 2216,178849,1.276702509,4,327910.312,0.121984575,201.5878208,87
Census Tract 2222,250000,1.127382146,11,231071.5477,0.476043031,112.2234467,83
Census Tract 2225,98750,1.549194991,5,158413.3398,0.315629985,189.2957234,90
Census Tract 2226,100385,1.022576361,2,160601.6583,0.124531715,204.3142117,77
Census Tract 2227,71250,1.215517241,7,226171.4984,0.309499652,131.462624,88
Census Tract 2228,86500,1.054187192,1,111384.6688,0.089778962,201.7313943,80
Census Tract 2301,66538,1.301242236,2,164481.7029,0.121594072,195.2613704,84
Census Tract 2302,66538,1.217777778,8,210189.9501,0.380608112,130.370121,79
Census Tract 2303,46364,1.603703704,1,104633.2765,0.09557189,190.5734753,89
Census Tract 2304,56250,1.394808743,6,334578.8563,0.179329921,194.2182464,90
Census Tract 2305,40500,1.025402202,14,517113.4673,0.270733618,203.3883461,70
Census Tract 2306,44320,1.265316719,21,1020378.752,0.205805932,323.9971306,74
Census Tract 2307,44483,1.55661882,22,650134.8125,0.338391355,217.1156589,89
Census Tract 2308,56447,1.625,3,205651.452,0.145877891,266.5784625,92
Census Tract 2309,53939,1.187082405,11,455180.037,0.241662619,120.3614761,80
Census Tract 2311,75139,1.075324675,5,176381.8517,0.283475876,228.9641926,70
Census Tract 2312,36060,0.82675551,12,656680.8041,0.182737183,396.9045242,67
Census Tract 2315,40250,0.936315022,14,1000739.536,0.139896541,403.5944079,60
Census Tract 2402,200556,1.216352201,4,166088.084,0.240836061,195.3992688,77
Census Tract 2403,179583,1.049019608,2,166590.1255,0.120055135,198.3286559,75
Census Tract 2405,225064,1.053291536,10,233368.9885,0.42850595,199.3660116,89
Census Tract 2406,167500,1.319508449,3,162941.1791,0.18411552,199.789138,91
Census Tract 2407,99083,1.235378031,4,163219.3317,0.24506901,195.4211813,80
Census Tract 2408,115278,1.227826087,3,165946.0549,0.18078164,205.7827859,86
Census Tract 2409,84167,0.988929889,21,1005122.767,0.208929702,200.8453227,79
Census Tract 2410,67083,1.140808344,3,210165.5539,0.14274461,242.8826239,81
Census Tract 2411,92063,1.099649123,10,333254.8574,0.300070645,194.0714459,75
Census Tract 2412,136950,1.13950762,6,328122.4522,0.182858563,191.7233378,71
Census Tract 2413,169545,1.150845254,1,164084.2205,0.060944312,301.9032027,84
Census Tract 2414,179375,1.059547439,15,517653.8822,0.289768908,200.9167462,79
Census Tract 2415,160430,1.188736682,8,302869.5281,0.264140141,190.6921733,84
Census Tract 2416,99097,0.990536278,7,293931.5031,0.238150723,183.9226214,76
Census Tract 2420,134633,1.081054688,10,326758.4672,0.306036446,226.6180782,71
Census Tract 2421,157069,1.069591528,5,327980.2592,0.1524482,193.1829092,89
Census Tract 2422,190000,1.128919861,6,326987.6321,0.183493179,195.4651422,86
Census Tract 2423,137795,1.264071856,9,328316.8362,0.274125449,197.5922048,91
Census Tract 2424,140781,1.083391244,8,328050.7017,0.243864743,193.3466995,75
Census Tract 2425,88194,1.043506078,7,309812.32,0.225943242,188.9014287,76
Census Tract 2426,72269,1.048668885,13,475743.1414,0.273256698,260.0053817,71
Census Tract 2427,80298,0.996047431,5,175571.4043,0.284784417,193.4256436,75
Census Tract 2428,123382,1.317512275,16,439629.4225,0.363942884,109.3841959,88
Census Tract 2429,156667,1.171136654,8,323820.3508,0.247050563,158.417137,88
Census Tract 2430,121634,1.262310606,11,324546.2691,0.338934724,157.3671985,85
Census Tract 2431,143272,1.241917503,10,324004.825,0.308637379,156.7743009,86
Census Tract 2432,182019,1.152663934,10,323849.0502,0.308785837,157.604298,90
Census Tract 2433,154926,1.004942339,7,327091.5952,0.214007333,164.7234458,72
Census Tract 2434,96620,1.035579107,5,329180.5938,0.151892308,183.8215494,67
Census Tract 2435,174079,1.15932377,21,657214.7906,0.31953024,162.6615755,82
Census Tract 2502,62917,1.324096386,8,499202.7948,0.160255513,301.8696344,79
Census Tract 2503,45402,1.277013752,8,618077.5585,0.129433594,371.647987,79
Census Tract 2504,47150,1.335696203,26,1309688.003,0.198520563,7.480155838,77
Census Tract 2505,128379,1.519626168,22,2061367.424,0.106725272,611.7061618,87
Census Tract 2506,63723,1.715864246,15,647769.3653,0.231563899,390.7480737,91
