id,name,novehicle,onevehicle,twovehicle,threevehicle,medianincome,houseunits,average_vehicles
"53",Census Tract 319,"498","607","192","18","148125","1315","0.7946768060836502"
"54",Census Tract 321,"1891","1716","388","0","101711","3995","0.6237797246558198"
"55",Census Tract 401,"276","923","451","97","132625","1747","1.2112192329708071"
"56",Census Tract 402.01,"556","1512","762","223","92924","3053","1.2135604323616116"
"57",Census Tract 402.02,"809","1254","627","69","52681","2759","0.9840521928234868"
"58",Census Tract 403,"54","588","329","99","83250","1070","1.4420560747663551"
"59",Census Tract 404.01,"162","709","435","74","109632","1380","1.305072463768116"
"60",Census Tract 404.02,"510","1461","418","12","145530","2401","0.9716784673052895"
"61",Census Tract 406,"280","697","203","9","134531","1189","0.9503784693019344"
"62",Census Tract 407,"483","694","358","38","150208","1573","0.9688493324856962"
"63",Census Tract 408,"150","469","128","46","114500","793","1.0882723833543506"
"64",Census Tract 409,"419","409","216","9","175341","1053","0.8243114909781576"
"65",Census Tract 501,"223","522","297","85","187292","1127","1.2165039929015085"
"66",Census Tract 502,"299","916","702","109","181875","2026","1.3065153010858834"
"67",Census Tract 503,"74","461","444","67","171731","1046","1.4818355640535372"
"68",Census Tract 505,"297","1022","708","92","213214","2119","1.2807928268050968"
"69",Census Tract 506,"170","647","243","33","224643","1093","1.1271729185727355"
"70",Census Tract 507,"72","406","202","14","195417","694","1.2276657060518732"
"71",Census Tract 508,"108","248","144","31","210469","531","1.1845574387947269"
"72",Census Tract 509,"108","209","224","64","165104","605","1.403305785123967"
"73",Census Tract 510,"68","381","248","18","169712","715","1.302097902097902"
"74",Census Tract 511,"79","405","216","14","179167","714","1.23109243697479"
"75",Census Tract 512,"78","403","150","4","176458","635","1.125984251968504"
"76",Census Tract 513,"30","428","523","73","209022","1054","1.6062618595825426"
"77",Census Tract 514,"145","460","265","19","188141","889","1.1777277840269966"
"78",Census Tract 601,"232","651","305","100","167917","1288","1.2119565217391304"
"79",Census Tract 602,"305","628","104","54","201917","1091","0.9147571035747021"
"80",Census Tract 603,"239","525","340","81","183125","1185","1.2219409282700422"
"81",Census Tract 604,"291","758","564","29","205086","1642","1.2015834348355665"
"82",Census Tract 605,"325","277","64","10","193500","676","0.643491124260355"
"83",Census Tract 608,"1330","1945","157","29","87361","3461","0.6778387749205432"
"84",Census Tract 609,"1985","2434","222","0","145909","4641","0.6201249730661496"
"85",Census Tract 610,"394","519","165","9","191719","1087","0.8058877644894205"
"86",Census Tract 611,"202","331","140","11","133125","684","0.9415204678362573"
"87",Census Tract 612,"209","330","202","60","153438","801","1.1410736579275904"
"88",Census Tract 615,"138","478","217","33","194375","866","1.1674364896073903"
"89",Census Tract 618,"391","299","55","11","119750","756","0.5846560846560847"
"90",Census Tract 619.01,"1491","750","81","0","119013","2322","0.39276485788113696"
"91",Census Tract 619.02,"1178","1329","176","71","112917","2754","0.6877269426289034"
"92",Census Tract 620,"676","716","168","17","142375","1577","0.699429296131896"
"93",Census Tract 621,"759","918","149","39","185813","1865","0.7147453083109919"
"94",Census Tract 622,"180","830","237","24","205536","1271","1.082612116443745"
"96",Census Tract 624,"120","457","89","34","226842","700","1.052857142857143"
"97",Census Tract 625,"134","394","166","5","203750","699","1.0600858369098711"
"101",Census Tract 629,"481","857","386","64","191071","1788","1.0184563758389262"
"102",Census Tract 630,"698","807","202","89","187788","1796","0.8229398663697105"
"103",Census Tract 631,"692","532","122","0","152321","1346","0.5765230312035661"
"104",Census Tract 632,"2064","1728","390","0","175900","4182","0.599713055954089"
"105",Census Tract 633.01,"1274","522","171","0","121591","1967","0.43924758515505846"
"106",Census Tract 633.02,"1438","1117","94","0","136509","2649","0.49263873159682897"
